Junction ID,Security Control ID,NIST Control ID,DISA Control ID,CCI ID,Type
41,AC-17-01,AC-17(1),AC-17 (1),CCI-000067,Technical
42,AC-17-02,AC-17(2),AC-17 (2),CCI-000068,Technical
43,AC-17-03,AC-17(3),AC-17 (3),CCI-000069,Policy
44,AC-17-04,AC-17(4),AC-17 (4) (a),CCI-000070,Policy
45,AC-17-06,AC-17(6),AC-17 (6),CCI-000072,Policy
46,PM-01-00,PM-1,PM-1 a 1,CCI-000073,Policy
47,PM-01-00,PM-1,PM-1 a 4,CCI-000074,Policy
48,PM-01-00,PM-1,PM-1 b,CCI-000075,Policy
49,PM-01-00,PM-1,PM-1 b,CCI-000076,Policy
50,PM-02-00,PM-2,PM-2,CCI-000078,Policy
51,PM-03-00,PM-3,PM-3 a,CCI-000080,Policy
52,AC-19-00,AC-19,AC-19 a,CCI-000083,Policy
53,AC-19-00,AC-19,AC-19 b,CCI-000084,Policy
54,AC-20-00,AC-20,AC-20 a 1,CCI-000093,Policy
55,AC-20-02,AC-20(2),AC-20 (2),CCI-000097,Policy
56,AC-21-00,AC-21,AC-21 a,CCI-000098,Policy
57,AC-21-01,AC-21(1),AC-21 (1),CCI-000099,Technical
58,AC-21-01,AC-21(1),AC-21 (1),CCI-000099,Policy
59,AT-01-00,AT-1,AT-1 a 1 (a),CCI-000100,Policy
60,AT-01-00,AT-1,AT-1 a 1 (a),CCI-000101,Policy
61,AT-01-00,AT-1,AT-1 c 1,CCI-000102,Policy
62,AT-01-00,AT-1,AT-1 a 2,CCI-000103,Policy
63,AT-01-00,AT-1,AT-1 a 2,CCI-000104,Policy
64,AT-01-00,AT-1,AT-1 c 2,CCI-000105,Policy
65,AT-02-00,AT-2,AT-2 a 1,CCI-000106,Policy
66,AT-02-01,AT-2(1),AT-2 (1),CCI-000107,Policy
67,AT-03-00,AT-3,AT-3 a 1,CCI-000108,Policy
68,AT-03-00,AT-3,AT-3 a 2,CCI-000109,Policy
69,AT-02-00,AT-2,AT-2 a 2,CCI-000112,Policy
70,AT-04-00,AT-4,AT-4 a,CCI-000113,Policy
71,AT-04-00,AT-4,AT-4 a,CCI-000114,Policy
72,AU-01-00,AU-1,AU-1 a 1 (a),CCI-000117,Policy
73,AU-01-00,AU-1,AU-1 c 1,CCI-000119,Policy
74,AU-01-00,AU-1,AU-1 a 2,CCI-000120,Policy
75,AU-01-00,AU-1,AU-1 c 2,CCI-000122,Policy
76,AU-02-00,AU-2,AU-2 a,CCI-000123,Policy
77,AU-02-00,AU-2,AU-2 b,CCI-000124,Policy
78,AU-02-00,AU-2,AU-2 d,CCI-000125,Policy
79,AU-02-00,AU-2,AU-2 c,CCI-000126,Policy
80,AU-03-00,AU-3,AU-3 a,CCI-000130,Technical
81,AU-03-00,AU-3,AU-3 b,CCI-000131,Technical
82,AU-03-00,AU-3,AU-3 c,CCI-000132,Technical
83,AU-03-00,AU-3,AU-3 d,CCI-000133,Technical
84,AU-03-00,AU-3,AU-3 e,CCI-000134,Technical
85,AU-03-01,AU-3(1),AU-3 (1),CCI-000135,Technical
86,AU-05-00,AU-5,AU-5 a,CCI-000139,Technical
87,AU-05-00,AU-5,AU-5 b,CCI-000140,Technical
88,PM-03-00,PM-3,PM-3 c,CCI-000141,Policy
89,PM-04-00,PM-4,PM-4 a 1,CCI-000142,Policy
90,AU-05-03,AU-5(3),AU-5 (3),CCI-000145,Policy
91,AU-05-02,AU-5(2),AU-5 (2),CCI-000147,Policy
92,AU-06-00,AU-6,AU-6 a,CCI-000148,Policy
93,AU-06-00,AU-6,AU-6 b,CCI-000149,Policy
94,AU-06-00,AU-6,AU-6 a,CCI-000151,Policy
95,AU-06-03,AU-6(3),AU-6 (3),CCI-000153,Policy
96,AU-06-04,AU-6(4),AU-6 (4),CCI-000154,Technical
97,AU-07-01,AU-7(1),AU-7 (1),CCI-000158,Technical
98,AU-08-00,AU-8,AU-8 a,CCI-000159,Technical
99,AU-09-00,AU-9,AU-9 a,CCI-000162,Technical
100,AU-09-00,AU-9,AU-9 a,CCI-000163,Technical
101,AU-09-00,AU-9,AU-9 a,CCI-000164,Technical
102,AU-09-01,AU-9(1),AU-9 (1),CCI-000165,Policy
103,AU-10-00,AU-10,AU-10,CCI-000166,Technical
104,AU-11-00,AU-11,AU-11,CCI-000167,Policy
105,AU-11-00,AU-11,AU-11,CCI-000168,Policy
106,AU-12-00,AU-12,AU-12 a,CCI-000169,Technical
107,PM-04-00,PM-4,PM-4 a 2,CCI-000170,Policy
108,AU-12-00,AU-12,AU-12 b,CCI-000171,Technical
109,AU-12-00,AU-12,AU-12 c,CCI-000172,Technical
110,AU-12-01,AU-12(1),AU-12 (1),CCI-000173,Policy
111,AU-12-01,AU-12(1),AU-12 (1),CCI-000174,Technical
112,IA-05-00,IA-5,IA-5 b,CCI-000176,Policy
113,IA-05-00,IA-5,IA-5 f,CCI-000182,Policy
114,IA-05-00,IA-5,IA-5 g,CCI-000183,Policy
115,IA-05-00,IA-5,IA-5 h,CCI-000184,Policy
116,IA-05-02,IA-5(2),IA-5 (2) (b) (1),CCI-000185,Technical
117,IA-05-02,IA-5(2),IA-5 (2) (a) (1),CCI-000186,Technical
118,IA-05-02,IA-5(2),IA-5 (2) (a) (2),CCI-000187,Technical
119,IA-05-01,IA-5(1),IA-5 (1) (c),CCI-000197,Technical
120,IA-05-06,IA-5(6),IA-5 (6),CCI-000201,Policy
121,IA-05-08,IA-5(8),IA-5 (8),CCI-000204,Policy
122,IA-06-00,IA-6,IA-6,CCI-000206,Technical
123,PM-06-00,PM-6,PM-6,CCI-000209,Policy
124,PM-06-00,PM-6,PM-6,CCI-000210,Policy
125,PM-06-00,PM-6,PM-6,CCI-000211,Policy
126,PM-07-00,PM-7,PM-7,CCI-000212,Policy
127,AC-03-00,AC-3,AC-3,CCI-000213,Technical
128,PM-08-00,PM-8,PM-8,CCI-000216,Policy
129,AC-02-03,AC-2(3),AC-2 (3),CCI-000217,Policy
130,AC-04-13,AC-4(13),AC-4 (13),CCI-000219,Technical
131,AC-06-00,AC-6,AC-6,CCI-000225,Policy
132,PM-09-00,PM-9,PM-9 a 1,CCI-000227,Policy
133,PM-09-00,PM-9,PM-9 b,CCI-000228,Policy
134,AC-14-00,AC-14,AC-14 b,CCI-000232,Policy
135,PM-10-00,PM-10,PM-10 b,CCI-000233,Policy
136,PM-10-00,PM-10,PM-10 c,CCI-000234,Policy
137,PM-11-00,PM-11,PM-11 a,CCI-000235,Policy
138,PM-11-00,PM-11,PM-11 b,CCI-000236,Policy
139,CA-01-00,CA-1,CA-1 c 1,CCI-000238,Policy
140,CA-01-00,CA-1,CA-1 a 1 (a),CCI-000239,Policy
141,CA-01-00,CA-1,CA-1 a 1 (a),CCI-000240,Policy
142,CA-01-00,CA-1,CA-1 c 1,CCI-000241,Policy
143,CA-01-00,CA-1,CA-1 a 2,CCI-000242,Policy
144,CA-01-00,CA-1,CA-1 a 2,CCI-000243,Policy
145,CA-01-00,CA-1,CA-1 c 2,CCI-000244,Policy
146,CA-02-00,CA-2,CA-2 b 1,CCI-000246,Policy
147,CA-02-00,CA-2,CA-2 b 2,CCI-000247,Policy
148,CA-02-00,CA-2,CA-2 b 3,CCI-000248,Policy
149,CA-02-00,CA-2,CA-2 d,CCI-000251,Policy
150,CA-02-00,CA-2,CA-2 d,CCI-000252,Policy
151,CA-02-00,CA-2,CA-2 e,CCI-000253,Policy
152,CA-02-00,CA-2,CA-2 f,CCI-000254,Policy
153,CA-02-01,CA-2(1),CA-2 (1),CCI-000255,Policy
154,CA-02-02,CA-2(2),CA-2 (2),CCI-000256,Policy
155,CA-03-00,CA-3,CA-3 b,CCI-000258,Policy
156,CA-03-00,CA-3,CA-3 b,CCI-000259,Policy
157,CA-05-00,CA-5,CA-5 a,CCI-000264,Policy
158,CA-05-00,CA-5,CA-5 b,CCI-000265,Policy
159,CA-05-00,CA-5,CA-5 b,CCI-000266,Policy
160,CA-05-01,CA-5(1),CA-5 (1),CCI-000267,Policy
161,CA-05-01,CA-5(1),CA-5 (1),CCI-000268,Policy
162,CA-05-01,CA-5(1),CA-5 (1),CCI-000269,Policy
163,CA-06-00,CA-6,CA-6 a,CCI-000270,Policy
164,CA-06-00,CA-6,CA-6 c 2,CCI-000271,Policy
165,CA-06-00,CA-6,CA-6 e,CCI-000272,Policy
166,CA-06-00,CA-6,CA-6 e,CCI-000273,Policy
167,CA-07-00,CA-7,CA-7,CCI-000274,Policy
168,CA-07-00,CA-7,CA-7 c,CCI-000279,Policy
169,CA-07-00,CA-7,CA-7 g,CCI-000280,Policy
170,CA-07-00,CA-7,CA-7 g,CCI-000281,Policy
171,CA-07-01,CA-7(1),CA-7 (1),CCI-000282,Policy
172,CM-01-00,CM-1,CM-1 c 1,CCI-000286,Policy
173,CM-01-00,CM-1,CM-1 a 1 (a),CCI-000287,Policy
174,CM-01-00,CM-1,CM-1 c 1,CCI-000289,Policy
175,CM-01-00,CM-1,CM-1 a 2,CCI-000290,Policy
176,CM-01-00,CM-1,CM-1 a 2,CCI-000292,Policy
177,CM-02-00,CM-2,CM-2 a,CCI-000295,Policy
178,CM-02-00,CM-2,CM-2 b 1,CCI-000296,Policy
179,CM-02-00,CM-2,CM-2 b 2,CCI-000297,Policy
180,CM-02-02,CM-2(2),CM-2 (2),CCI-000300,Policy
181,CM-02-02,CM-2(2),CM-2 (2),CCI-000301,Policy
182,CM-02-02,CM-2(2),CM-2 (2),CCI-000302,Policy
183,CM-02-02,CM-2(2),CM-2 (2),CCI-000303,Policy
184,CM-02-03,CM-2(3),CM-2 (3),CCI-000304,Policy
185,CM-02-06,CM-2(6),CM-2 (6),CCI-000311,Policy
186,CM-02-06,CM-2(6),CM-2 (6),CCI-000312,Policy
187,CM-03-00,CM-3,CM-3 a,CCI-000313,Policy
188,CM-03-00,CM-3,CM-3 b,CCI-000314,Policy
189,CM-03-00,CM-3,CM-3 e,CCI-000316,Policy
190,CM-03-00,CM-3,CM-3 f,CCI-000318,Policy
191,CM-03-00,CM-3,CM-3 g,CCI-000319,Policy
192,CM-03-00,CM-3,CM-3 g,CCI-000320,Policy
193,CM-03-00,CM-3,CM-3 g,CCI-000321,Policy
194,CM-03-01,CM-3(1),CM-3 (1) (a),CCI-000322,Policy
195,CM-03-01,CM-3(1),CM-3 (1) (b),CCI-000323,Policy
196,CM-03-01,CM-3(1),CM-3 (1) (c),CCI-000324,Policy
197,CM-03-01,CM-3(1),CM-3 (1) (d),CCI-000325,Policy
198,CM-03-01,CM-3(1),CM-3 (1) (e),CCI-000326,Policy
199,CM-03-02,CM-3(2),CM-3 (2),CCI-000327,Policy
200,CM-03-02,CM-3(2),CM-3 (2),CCI-000328,Policy
201,CM-03-02,CM-3(2),CM-3 (2),CCI-000329,Policy
202,CM-03-03,CM-3(3),CM-3 (3),CCI-000330,Policy
203,CM-03-03,CM-3(3),CM-3 (3),CCI-000331,Policy
204,CM-03-04,CM-3(4),CM-3 (4),CCI-000332,Policy
205,CM-04-00,CM-4,CM-4,CCI-000333,Policy
206,CM-04-02,CM-4(2),CM-4 (2),CCI-000335,Policy
207,CM-04-02,CM-4(2),CM-4 (2),CCI-000336,Policy
208,CM-04-02,CM-4(2),CM-4 (2),CCI-000337,Policy
209,CM-05-00,CM-5,CM-5,CCI-000340,Policy
210,CM-05-00,CM-5,CM-5,CCI-000341,Policy
211,CM-05-00,CM-5,CM-5,CCI-000344,Policy
212,CM-05-00,CM-5,CM-5,CCI-000345,Policy
213,CM-05-04,CM-5(4),CM-5 (4),CCI-000353,Policy
214,CM-05-04,CM-5(4),CM-5 (4),CCI-000354,Technical
215,CM-05-04,CM-5(4),CM-5 (4),CCI-000354,Policy
216,CM-06-00,CM-6,CM-6 b,CCI-000366,Policy
217,CM-06-00,CM-6,CM-6 b,CCI-000366,Technical
218,CM-06-00,CM-6,CM-6 c,CCI-000367,Policy
219,CM-06-00,CM-6,CM-6 c,CCI-000368,Policy
220,CM-06-00,CM-6,CM-6 c,CCI-000369,Policy
221,CM-06-01,CM-6(1),CM-6 (1),CCI-000370,Policy
222,CM-06-01,CM-6(1),CM-6 (1),CCI-000371,Policy
223,CM-06-01,CM-6(1),CM-6 (1),CCI-000372,Policy
224,CM-07-00,CM-7,CM-7 b,CCI-000380,Policy
225,CM-07-00,CM-7,CM-7 a,CCI-000381,Technical
226,CM-07-00,CM-7,CM-7 b,CCI-000382,Technical
227,CM-07-01,CM-7(1),CM-7 (1) (a),CCI-000384,Policy
228,CM-07-03,CM-7(3),CM-7 (3),CCI-000387,Policy
229,CM-07-03,CM-7(3),CM-7 (3),CCI-000388,Policy
230,CM-08-00,CM-8,CM-8 a 5,CCI-000398,Policy
231,CM-08-01,CM-8(1),CM-8 (1),CCI-000408,Policy
232,CM-08-01,CM-8(1),CM-8 (1),CCI-000409,Policy
233,CM-08-01,CM-8(1),CM-8 (1),CCI-000410,Policy
234,CM-08-02,CM-8(2),CM-8 (2),CCI-000411,Policy
235,CM-08-02,CM-8(2),CM-8 (2),CCI-000412,Policy
236,CM-08-02,CM-8(2),CM-8 (2),CCI-000413,Policy
237,CM-08-02,CM-8(2),CM-8 (2),CCI-000414,Policy
238,CM-08-03,CM-8(3),CM-8 (3) (a),CCI-000415,Policy
239,CM-08-03,CM-8(3),CM-8 (3) (a),CCI-000416,Policy
240,CM-08-04,CM-8(4),CM-8 (4),CCI-000418,Policy
241,CM-08-06,CM-8(6),CM-8 (6),CCI-000420,Policy
242,CM-09-00,CM-9,CM-9 a,CCI-000423,Policy
243,CM-09-00,CM-9,CM-9 c,CCI-000426,Policy
244,CM-09-01,CM-9(1),CM-9 (1),CCI-000436,Policy
245,CP-01-00,CP-1,CP-1 c 1,CCI-000437,Policy
246,CP-01-00,CP-1,CP-1 a 1 (a),CCI-000438,Policy
247,CP-01-00,CP-1,CP-1 a 1 (a),CCI-000439,Policy
248,CP-01-00,CP-1,CP-1 c 1,CCI-000440,Policy
249,CP-01-00,CP-1,CP-1 a 2,CCI-000441,Policy
250,CP-02-00,CP-2,CP-2 a 1,CCI-000443,Policy
251,CP-02-00,CP-2,CP-2 a 1,CCI-000444,Policy
252,CP-02-00,CP-2,CP-2 a 1,CCI-000445,Policy
253,CP-02-00,CP-2,CP-2 a 2,CCI-000446,Policy
254,CP-02-00,CP-2,CP-2 a 2,CCI-000447,Policy
255,CP-02-00,CP-2,CP-2 a 2,CCI-000448,Policy
256,CP-02-00,CP-2,CP-2 a 3,CCI-000449,Policy
257,CP-02-00,CP-2,CP-2 a 5,CCI-000456,Policy
258,CP-02-00,CP-2,CP-2 a 7,CCI-000457,Policy
259,CP-02-00,CP-2,CP-2 b,CCI-000458,Policy
260,CP-02-00,CP-2,CP-2 b,CCI-000459,Policy
261,CP-02-00,CP-2,CP-2 c,CCI-000460,Policy
262,CP-02-00,CP-2,CP-2 d,CCI-000461,Policy
263,CP-02-00,CP-2,CP-2 d,CCI-000462,Policy
264,CP-02-00,CP-2,CP-2 e,CCI-000463,Policy
265,CP-02-00,CP-2,CP-2 e,CCI-000464,Policy
266,CP-02-00,CP-2,CP-2 e,CCI-000465,Policy
267,CP-02-00,CP-2,CP-2 e,CCI-000466,Policy
268,CP-02-00,CP-2,CP-2 f,CCI-000468,Policy
269,CP-02-01,CP-2(1),CP-2 (1),CCI-000469,Policy
270,CP-02-02,CP-2(2),CP-2 (2),CCI-000470,Policy
271,CP-02-02,CP-2(2),CP-2 (2),CCI-000471,Policy
272,CP-02-02,CP-2(2),CP-2 (2),CCI-000472,Policy
273,CP-02-03,CP-2(3),CP-2 (3),CCI-000473,Policy
274,CP-02-03,CP-2(3),CP-2 (3),CCI-000474,Policy
275,CP-02-03,CP-2(3),CP-2 (3),CCI-000475,Policy
276,CP-02-03,CP-2(3),CP-2 (3),CCI-000476,Policy
277,CP-02-05,CP-2(5),CP-2 (5),CCI-000481,Policy
278,CP-02-05,CP-2(5),CP-2 (5),CCI-000482,Policy
279,CP-02-06,CP-2(6),CP-2 (6),CCI-000483,Policy
280,CP-02-06,CP-2(6),CP-2 (6),CCI-000484,Policy
281,CP-03-00,CP-3,CP-3 a 3,CCI-000485,Policy
282,CP-03-00,CP-3,CP-3 a 1,CCI-000486,Policy
283,CP-03-00,CP-3,CP-3 a 3,CCI-000487,Policy
284,CP-03-01,CP-3(1),CP-3 (1),CCI-000488,Policy
285,CP-03-02,CP-3(2),CP-3 (2),CCI-000489,Policy
286,CP-04-00,CP-4,CP-4 a,CCI-000490,Policy
287,CP-04-00,CP-4,CP-4 a,CCI-000492,Policy
288,CP-04-00,CP-4,CP-4 a,CCI-000494,Policy
289,CP-04-00,CP-4,CP-4 b,CCI-000496,Policy
290,CP-04-00,CP-4,CP-4 c,CCI-000497,Policy
291,CP-04-01,CP-4(1),CP-4 (1),CCI-000498,Policy
292,CP-04-02,CP-4(2),CP-4 (2) (a),CCI-000500,Policy
293,CP-04-03,CP-4(3),CP-4 (3),CCI-000502,Policy
294,CP-04-04,CP-4(4),CP-4 (4),CCI-000504,Policy
295,CP-06-00,CP-6,CP-6 a,CCI-000505,Policy
296,CP-06-01,CP-6(1),CP-6 (1),CCI-000507,Policy
297,CP-06-02,CP-6(2),CP-6 (2),CCI-000508,Policy
298,CP-06-03,CP-6(3),CP-6 (3),CCI-000509,Policy
299,CP-07-00,CP-7,CP-7 a,CCI-000510,Policy
300,CP-07-00,CP-7,CP-7 a,CCI-000513,Policy
301,CP-07-00,CP-7,CP-7 a,CCI-000514,Policy
302,CP-07-00,CP-7,CP-7 b,CCI-000515,Policy
303,CP-07-01,CP-7(1),CP-7 (1),CCI-000516,Policy
304,CP-07-02,CP-7(2),CP-7 (2),CCI-000517,Policy
305,CP-07-03,CP-7(3),CP-7 (3),CCI-000518,Policy
306,CP-07-04,CP-7(4),CP-7 (4),CCI-000519,Policy
307,CP-07-04,CP-7(4),CP-7 (4),CCI-000520,Policy
308,CP-07-00,CP-7,CP-7 c,CCI-000521,Policy
309,CP-08-00,CP-8,CP-8,CCI-000522,Policy
310,CP-08-00,CP-8,CP-8,CCI-000523,Policy
311,CP-08-00,CP-8,CP-8,CCI-000524,Policy
312,CP-08-00,CP-8,CP-8,CCI-000525,Policy
313,CP-08-01,CP-8(1),CP-8 (1) (a),CCI-000526,Policy
314,CP-08-01,CP-8(1),CP-8 (1) (a),CCI-000527,Policy
315,CP-08-02,CP-8(2),CP-8 (2),CCI-000530,Policy
316,CP-08-03,CP-8(3),CP-8 (3),CCI-000531,Policy
317,CP-08-04,CP-8(4),CP-8 (4) (a),CCI-000532,Policy
318,CP-08-04,CP-8(4),CP-8 (4) (a),CCI-000533,Policy
319,CP-09-00,CP-9,CP-9 (a),CCI-000534,Policy
320,CP-09-00,CP-9,CP-9 (a),CCI-000535,Policy
321,CP-09-00,CP-9,CP-9 (b),CCI-000536,Policy
322,CP-09-00,CP-9,CP-9 (b),CCI-000537,Policy
323,CP-09-00,CP-9,CP-9 (c),CCI-000538,Policy
324,CP-09-00,CP-9,CP-9 (c),CCI-000539,Policy
325,CP-09-01,CP-9(1),CP-9 (1),CCI-000541,Policy
326,CP-09-01,CP-9(1),CP-9 (1),CCI-000542,Policy
327,CP-09-02,CP-9(2),CP-9 (2),CCI-000543,Policy
328,CP-09-05,CP-9(5),CP-9 (5),CCI-000547,Policy
329,CP-09-05,CP-9(5),CP-9 (5),CCI-000548,Policy
330,CP-09-06,CP-9(6),CP-9 (6),CCI-000549,Policy
331,CP-10-02,CP-10(2),CP-10 (2),CCI-000553,Policy
332,CP-10-04,CP-10(4),CP-10 (4),CCI-000556,Policy
333,CP-10-04,CP-10(4),CP-10 (4),CCI-000557,Policy
334,SI-13-05,SI-13(5),SI-13 (5),CCI-000558,Policy
335,SI-13-05,SI-13(5),SI-13 (5),CCI-000559,Policy
336,PL-01-00,PL-1,PL-1 a 1 (a),CCI-000563,Policy
337,PL-01-00,PL-1,PL-1 a 1 (a),CCI-000564,Policy
338,PL-01-00,PL-1,PL-1 a 2,CCI-000566,Policy
339,PL-01-00,PL-1,PL-1 a 2,CCI-000567,Policy
340,PL-01-00,PL-1,PL-1 c 2,CCI-000568,Policy
341,PL-02-00,PL-2,PL-2 a 15,CCI-000571,Policy
342,PL-02-00,PL-2,PL-2 c,CCI-000572,Policy
343,PL-02-00,PL-2,PL-2 c,CCI-000573,Policy
344,PL-02-00,PL-2,PL-2 d,CCI-000574,Policy
345,PL-07-00,PL-7,PL-7 b,CCI-000577,Policy
346,PL-07-00,PL-7,PL-7 b,CCI-000578,Policy
347,PL-04-00,PL-4,PL-4 a,CCI-000592,Policy
348,PL-04-00,PL-4,PL-4 b,CCI-000593,Policy
349,PL-04-01,PL-4(1),PL-4 (1) (a),CCI-000594,Policy
350,PL-04-01,PL-4(1),PL-4 (1) (b),CCI-000595,Policy
351,SA-01-00,SA-1,SA-1 c 1,CCI-000601,Policy
352,SA-01-00,SA-1,SA-1 a 1 (a),CCI-000602,Policy
353,SA-01-00,SA-1,SA-1 a 1,CCI-000603,Policy
354,SA-01-00,SA-1,SA-1 c 1,CCI-000604,Policy
355,SA-01-00,SA-1,SA-1 a 2,CCI-000605,Policy
356,SA-01-00,SA-1,SA-1 a 2,CCI-000606,Policy
357,SA-01-00,SA-1,SA-1 c 2,CCI-000607,Policy
358,SA-02-00,SA-2,SA-2 b,CCI-000610,Policy
359,SA-02-00,SA-2,SA-2 b,CCI-000611,Policy
360,SA-02-00,SA-2,SA-2 b,CCI-000612,Policy
361,SA-02-00,SA-2,SA-2 c,CCI-000613,Policy
362,SA-02-00,SA-2,SA-2 c,CCI-000614,Policy
363,SA-03-00,SA-3,SA-3 a,CCI-000615,Policy
364,SA-03-00,SA-3,SA-3 b,CCI-000616,Policy
365,SA-03-00,SA-3,SA-3 c,CCI-000618,Policy
366,SA-04-01,SA-4(1),SA-4 (1),CCI-000623,Policy
367,SA-04-06,SA-4(6),SA-4 (6) (a),CCI-000631,Policy
368,SA-04-06,SA-4(6),SA-4 (6) (b),CCI-000633,Policy
369,SA-04-07,SA-4(7),SA-4 (7) (a),CCI-000634,Policy
370,SA-04-07,SA-4(7),SA-4 (7) (b),CCI-000635,Policy
371,SA-05-00,SA-5,SA-5 c,CCI-000642,Policy
372,SA-08-00,SA-8,SA-8,CCI-000664,Policy
373,SA-08-00,SA-8,SA-8,CCI-000665,Policy
374,SA-08-00,SA-8,SA-8,CCI-000666,Policy
375,SA-08-00,SA-8,SA-8,CCI-000667,Policy
376,SA-08-00,SA-8,SA-8,CCI-000668,Policy
377,SA-09-00,SA-9,SA-9,CCI-000669,Policy
378,SA-10-00,SA-10,SA-10 c,CCI-000692,Policy
379,SA-10-00,SA-10,SA-10 d,CCI-000694,Policy
380,SA-10-01,SA-10(1),SA-10 (1),CCI-000698,Policy
381,SA-10-02,SA-10(2),SA-10 (2),CCI-000700,Policy
382,IA-01-00,IA-1,IA-1 a 1 (a),CCI-000757,Policy
383,IA-01-00,IA-1,IA-1 c 1,CCI-000758,Policy
384,IA-01-00,IA-1,IA-1 c 1,CCI-000759,Policy
385,IA-01-00,IA-1,IA-1 c 2,CCI-000762,Policy
386,IA-01-00,IA-1,IA-1 c 2,CCI-000763,Policy
387,IA-02-00,IA-2,IA-2,CCI-000764,Technical
388,IA-02-01,IA-2(1),IA-2 (1),CCI-000765,Technical
389,IA-02-02,IA-2(2),IA-2 (2),CCI-000766,Technical
390,IA-03-00,IA-3,IA-3,CCI-000777,Policy
391,IA-03-00,IA-3,IA-3,CCI-000778,Technical
392,IA-03-03,IA-3(3),IA-3 (3) (b),CCI-000783,Technical
393,IA-04-01,IA-4(1),IA-4 (1),CCI-000796,Policy
394,IA-04-04,IA-4(4),IA-4 (4),CCI-000800,Policy
395,IA-04-04,IA-4(4),IA-4 (4),CCI-000801,Policy
396,IA-07-00,IA-7,IA-7,CCI-000803,Technical
397,IA-08-00,IA-8,IA-8,CCI-000804,Technical
398,IR-01-00,IR-1,IR-1 a 1 (a),CCI-000805,Policy
399,IR-01-00,IR-1,IR-1 a 1 (a),CCI-000806,Policy
400,IR-01-00,IR-1,IR-1 c 1,CCI-000807,Policy
401,IR-01-00,IR-1,IR-1 c 1,CCI-000808,Policy
402,IR-01-00,IR-1,IR-1 a 2,CCI-000809,Policy
403,IR-01-00,IR-1,IR-1 a 2,CCI-000810,Policy
404,IR-01-00,IR-1,IR-1 c 2,CCI-000811,Policy
405,IR-01-00,IR-1,IR-1 c 2,CCI-000812,Policy
406,IR-02-00,IR-2,IR-2 a 1,CCI-000813,Policy
407,IR-02-00,IR-2,IR-2 a 3,CCI-000814,Policy
408,IR-02-00,IR-2,IR-2 c,CCI-000815,Policy
409,IR-02-01,IR-2(1),IR-2 (1),CCI-000816,Policy
410,IR-02-02,IR-2(2),IR-2 (2),CCI-000817,Policy
411,IR-03-00,IR-3,IR-3,CCI-000818,Policy
412,IR-03-00,IR-3,IR-3,CCI-000819,Policy
413,IR-03-00,IR-3,IR-3,CCI-000820,Policy
