Junction ID,ATT&CK Technique ID,ATT&CK Mitigation ID,Mapping Description
18,T0805,M0807,"Implement network allowlists to minimize serial comm port access to only authorized hosts, such as comm servers and RTUs."
19,T0805,M0930,Restrict unauthorized devices from accessing serial comm ports.
20,T0805,M0810,Ensure devices have an alternative method for communicating in the event that a valid COM port is unavailable.
21,T0806,M0807,"Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support."
22,T0806,M0937,Allow/denylists can be used to block access when excessive I/O connections are detected from a system or device during a specified time period.
23,T0806,M0930,Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment. (Citation: Karen Scarfone; Paul 
24,T0806,M0813,Devices should authenticate all messages between master and outstation assets.
25,T0807,M0942,Consider removing or restricting features that are unnecessary to an asset's intended function within the control environment.
26,T0807,M0938,Execution prevention may block malicious software from accessing protected resources through the command line interface.
27,T0809,M0953,"Utilize central storage servers for critical operations where possible (e.g., historians) and keep remote backups. For outstations, use local redundant storage for event recorders. Have backup control system platforms, preferably as hot-standbys to respon"
28,T0809,M0926,Minimize permissions and access for service accounts to limit the information that may be impacted by malicious users or software. (Citation: National Institute of Standards and Technology April 2013)
29,T0809,M0922,Protect files stored locally with proper permissions  to limit opportunities for adversaries to impact data storage. (Citation: National Institute of Standards and Technology April 2013)
30,T0811,M0918,Ensure users and user groups have appropriate permissions for their roles through Identity and Access Management (IAM) controls to prevent misuse. Implement user accounts for each individual that may access the repositories for role enforcement and non-re
31,T0811,M0917,Develop and publish policies that define acceptable information to be stored in repositories.
32,T0811,M0947,Consider periodic reviews of accounts and privileges for critical and sensitive repositories.
33,T0811,M0941,Information which is sensitive to the operation and architecture of the process environment may be encrypted to ensure confidentiality and restrict access to only those who need to know. (Citation: Keith Stouffer May 2015) (Citation: National Institute of
34,T0811,M0926,Minimize permissions and access for service accounts to limit the information that may be exposed or collected by malicious users or software. (Citation: National Institute of Standards and Technology April 2013)
35,T0811,M0922,Protect files with proper permissions to limit opportunities for adversaries to interact and collect information from databases. (Citation: Keith Stouffer May 2015) (Citation: National Institute of Standards and Technology April 2013)
36,T0812,M0801,"Ensure embedded controls and network devices are protected through access management, as these devices often have unknown default accounts which could be used to gain unauthorized access."
37,T0812,M0927,Review vendor documents and security alerts for potentially unknown or overlooked default credentials within existing devices
38,T0813,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans (Citation: Department
39,T0813,M0810,"Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage  (Citation: National Institute of Standards and Technology April 2013). Out-of-ban"
40,T0813,M0811,"Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse comm"
41,T0814,M0815,System and process restarts should be performed when a timeout condition occurs.
42,T0815,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
43,T0815,M0810,"Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage  (Citation: National Institute of Standards and Technology April 2013). Out-of-ban"
44,T0815,M0811,"Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse comm"
45,T0816,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
46,T0816,M0801,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not "
47,T0816,M0800,"All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism."
48,T0816,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
49,T0816,M0942,Ensure remote commands that enable device shutdown are disabled if they are not necessary. Examples include DNP3's 0x0D function code or unnecessary device management functions.
50,T0816,M0937,"Application denylists can be used to block automation protocol functions used to initiate device shutdowns or restarts, such as DNP3's 0x0D function code, or vulnerabilities that can be used to trigger device shutdowns (e.g., CVE-2014-9195, CVE-2015-5374)"
51,T0816,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attac"
52,T0816,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
53,T0816,M0813,Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.
54,T0817,M0951,Ensure all browsers and plugins are kept updated to help prevent the exploit phase of this technique. Use modern browsers with security features enabled.
55,T0817,M0948,Built-in browser sandboxes and application isolation may be used to contain web-based malware.
56,T0817,M0950,Utilize exploit protection to prevent activities which may be exploited through malicious web sites.
57,T0817,M0921,Restrict browsers to limit the capabilities of malicious ads and Javascript.
58,T0819,M0951,Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and public disclosure.
59,T0819,M0916,Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and public disclosure.
60,T0819,M0948,"Application isolation will limit the other processes and system features an exploited target can access. Examples of built in features are software restriction policies, AppLocker for Windows, and SELinux or AppArmor for Linux."
61,T0819,M0950,Web Application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application. (Citation: Karen Scarfone; Paul Hoffman September 2009)
62,T0819,M0930,Segment externally facing servers and services from the rest of the network with a DMZ or on separate hosting infrastructure.
63,T0819,M0926,Use least privilege for service accounts. (Citation: Keith Stouffer May 2015) (Citation: National Institute of Standards and Technology April 2013)
64,T0820,M0951,Update software regularly by employing patch management for internal enterprise endpoints and servers.
65,T0820,M0948,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types 
66,T0820,M0950,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: Microsoft Security Res
67,T0820,M0919,Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.
68,T0821,M0947,"Provide the ability to verify the integrity of controller tasking. While techniques like CRCs and checksums are commonly used, they are not cryptographically secure and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2,"
69,T0821,M0800,"All field controllers should restrict the modification of controller tasks to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism."
70,T0821,M0945,"Utilize code signatures to verify the integrity and authenticity of programs installed on safety or control assets, including the associated controller tasking."
71,T0821,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management."
72,T0822,M0932,Use strong multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials. Be aware of multi-factor authentication interception techniques for some implementations.
73,T0822,M0918,"Consider utilizing jump boxes for external remote access. Additionally, dynamic account management may be used to easily remove accounts when not in use."
74,T0822,M0936,"Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability. (Citation: Keith Stouff"
75,T0822,M0942,"Consider removal of remote services which are not regularly in use, or only enabling them when required (e.g., vendor remote access). Ensure all external remote access point (e.g., jump boxes, VPN concentrator) are configured with least functionality, esp"
76,T0822,M0935,Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems.
77,T0822,M0930,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Consider a jump server or host into the DMZ for greater access control. Leverage this DMZ or corporate resources for vendor access. (Citation: Keith"
78,T0822,M0927,Set and enforce secure password policies for accounts.
79,T0823,M0816,"Once an adversary has access to a remote GUI they can abuse system features, such as required HMI functions."
80,T0826,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
81,T0826,M0810,"Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage  (Citation: National Institute of Standards and Technology April 2013). Out-of-ban"
82,T0826,M0811,"Hot-standbys in diverse locations can ensure continued operations if the primarily system is compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse commu"
83,T0827,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
84,T0827,M0810,"Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage  (Citation: National Institute of Standards and Technology April 2013). Out-of-ban"
85,T0827,M0811,"Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse comm"
86,T0828,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
87,T0829,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
88,T0829,M0810,"Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage  (Citation: National Institute of Standards and Technology April 2013). Out-of-ban"
89,T0829,M0811,"Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse comm"
90,T0830,M0947,Limit access to network infrastructure and resources that can be used to reshape traffic or otherwise produce AiTM conditions.
91,T0830,M0802,"Communication authenticity will ensure that any messages tampered with through AiTM can be detected, but cannot prevent eavesdropping on these. In addition, providing communication authenticity around various discovery protocols, such as DNS, can be used "
92,T0830,M0942,Disable unnecessary legacy network protocols that may be used for AiTM if applicable.
93,T0830,M0931,Network intrusion detection and prevention systems that can identify traffic patterns indicative of AiTM activity can be used to mitigate activity at the network level.
94,T0830,M0930,"Network segmentation can be used to isolate infrastructure components that do not require broad network access. This may mitigate, or at least alleviate, the scope of AiTM activity."
95,T0830,M0810,Utilize out-of-band communication to validate the integrity of data from the primary channel.
96,T0830,M0813,"To protect against AiTM, authentication mechanisms should not send credentials across the network in plaintext and should also implement mechanisms to prevent replay attacks (such as nonces or timestamps). Challenge-response based authentication technique"
97,T0830,M0814,"Statically defined ARP entries can prevent manipulation and sniffing of switched network traffic, as some AiTM techniques depend on sending spoofed ARP messages to manipulate network host's dynamic ARP tables."
98,T0831,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
99,T0831,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
100,T0831,M0810,Utilize out-of-band communication to validate the integrity of data from the primary channel.
101,T0832,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
102,T0832,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
103,T0832,M0810,Utilize out-of-band communication to validate the integrity of data from the primary channel.
104,T0834,M0938,Minimize the exposure of API calls that allow the execution of code.
105,T0835,M0816,"This technique may not be effectively mitigated against, consider controls for assets and processes that lead to the use of this technique."
106,T0836,M0818,"Devices and programs should validate the content of any remote parameter changes, including those from HMIs, control servers, or engineering workstations.(Citation: PLCTop20 Mar 2023)"
107,T0836,M0947,Provide the ability to verify the integrity and authenticity of changes to parameter values.
108,T0836,M0800,"All field controllers should restrict the modification of parameter values to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism. They should also restrict online edits and enable write pr"
109,T0836,M0804,"All field controllers should require that user authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management."
110,T0838,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
111,T0838,M0918,Limit privileges of user accounts and groups so that only designated administrators or engineers can interact with alarm management and alarm configuration thresholds.
112,T0838,M0801,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not "
113,T0838,M0800,Only authorized personnel should be able to change settings for alarms.
114,T0838,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attac"
115,T0838,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016) (Citation: N/A)
116,T0838,M0813,Authenticate connections fromsoftware and devices to prevent unauthorized systems from accessing protected management functions.
117,T0839,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
118,T0839,M0801,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not "
119,T0839,M0947,"Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it to a trusted hash of the firmware. This could be from trusted data sources (e.g., vendor s"
120,T0839,M0946,Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: N/A) Move system's root of trust to hardware to prevent tampering with the SPI flash memory. (Citation: ES
121,T0839,M0945,Devices should verify that firmware has been properly signed by the vendor before allowing installation.
122,T0839,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
123,T0839,M0808,The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.
124,T0839,M0941,The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.
125,T0839,M0937,Filter for protocols and payloads associated with firmware activation or updating activity.
126,T0839,M0804,"Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://a"
127,T0839,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
128,T0839,M0813,Authenticate connections fromsoftware and devices to prevent unauthorized systems from accessing protected management functions.
129,T0840,M0816,"Network connection enumeration is likely obtained by using common system tools (e.g., netstat, ipconfig)."
130,T0842,M0932,Use multi-factor authentication wherever possible.
131,T0842,M0808,"Ensure that wired and/or wireless traffic is encrypted when feasible. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS. (Citation: Keith Stouffer May 2015)"
132,T0842,M0930,Segment networks and systems appropriately to reduce access to critical system and services communications.
133,T0842,M0926,Restrict root or administrator access on user accounts to limit the ability to capture promiscuous traffic on a network through common packet capture tools. (Citation: National Institute of Standards and Technology April 2013)
134,T0842,M0814,"Statically defined ARP entries can prevent manipulation and sniffing of switched network traffic, as some AiTM techniques depend on sending spoofed ARP messages to manipulate network host's dynamic ARP tables."
135,T0843,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
136,T0843,M0801,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS."
137,T0843,M0947,"Provide the ability to verify the integrity of programs downloaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically secure and can be vulnerable to collisions. Preferably cryptographic hash functi"
138,T0843,M0800,"All field controllers should restrict the download of programs, including online edits and program appends, to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism."
139,T0843,M0945,Utilize code signatures to verify the integrity and authenticity of programs downloaded to the device.
140,T0843,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
141,T0843,M0937,Filter for protocols and payloads associated with program download activity to prevent unauthorized device configurations.
142,T0843,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attac"
143,T0843,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
144,T0843,M0813,Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.
145,T0845,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
146,T0845,M0801,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS."
147,T0845,M0800,"All field controllers should restrict program uploads to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism."
148,T0845,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
149,T0845,M0937,Filter for protocols and payloads associated with program upload activity to prevent unauthorized access to device configurations.
150,T0845,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attac"
151,T0845,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
152,T0845,M0813,Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.
153,T0846,M0814,"ICS environments typically have more statically defined devices, therefore minimize the use of both IT discovery protocols (e.g., DHCP, LLDP) and discovery functions in automation protocols. (Citation: D. Parsons and D. Wylie September 2019) (Citation: Co"
154,T0847,M0942,Consider the disabling of features such as AutoRun.
155,T0847,M0934,Enforce system policies or physical restrictions to limit hardware such as USB devices on critical assets.
156,T0847,M0928,Harden the system through operating system controls to prevent the known or unknown use of malicious removable media.
157,T0848,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
158,T0848,M0937,Perform inline allowlisting of automation protocol commands  to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid rep
159,T0848,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
160,T0848,M0930,Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment. (Citation: Karen Scarfone; Paul 
161,T0848,M0813,Devices should authenticate all messages between master and outstation assets.
162,T0849,M0945,Require signed binaries.
163,T0849,M0938,Use tools that restrict program execution via application control by attributes other than file name for common system and application utilities.
164,T0849,M0922,Use file system access controls to protect system and application folders.
165,T0851,M0947,"Audit the integrity of PLC system and application code functionality, such as the manipulation of standard function blocks (e.g., Organizational Blocks) that manage the execution of application logic programs. (Citation: IEC February 2019)"
166,T0851,M0945,Digital signatures may be used to ensure application DLLs are authentic prior to execution.
167,T0852,M0816,"Preventing screen capture on a device may require disabling various system calls supported by the operating systems (e.g., Microsoft WindowsGraphicsCaputer APIs), however, these may be needed for other critical applications."
168,T0853,M0948,"Consider the use of application isolation and sandboxing to restrict specific operating system interactions such as access through user accounts, services, system calls, registry, and network access. This may be even more useful in cases where the source "
169,T0853,M0942,"Consider removal or disabling of programs and features which may be used to run malicious scripts (e.g., scripting language IDEs, PowerShell, visual studio)."
170,T0853,M0938,Execution prevention may prevent malicious scripts from accessing protected resources.
171,T0855,M0818,"Devices and programs that receive command messages from remote systems (e.g., control servers) should verify those commands before taking any actions on them."
172,T0855,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
173,T0855,M0937,Perform inline allowlisting of automation protocol commands  to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid mes
174,T0855,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
175,T0855,M0930,Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment. (Citation: Karen Scarfone; Paul 
176,T0855,M0813,Devices should authenticate all messages between master and outstation assets.
177,T0856,M0802,"Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e"
178,T0856,M0937,Perform inline allowlisting of automation protocol commands  to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid rep
179,T0856,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
180,T0856,M0930,Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment. (Citation: Karen Scarfone; Paul 
181,T0856,M0813,Devices should authenticate all messages between master and outstation assets.
182,T0857,M0951,Patch the BIOS and EFI as necessary.
183,T0857,M0801,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not "
184,T0857,M0947,"Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it to a trusted hash of the firmware. This could be from trusted data sources (e.g., vendor s"
185,T0857,M0946,Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: N/A) Move system's root of trust to hardware to prevent tampering with the SPI flash memory. (Citation: ES
186,T0857,M0945,Devices should verify that firmware has been properly signed by the vendor before allowing installation.
187,T0857,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
188,T0857,M0808,The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.
189,T0857,M0941,The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.
190,T0857,M0937,Filter for protocols and payloads associated with firmware activation or updating activity.
191,T0857,M0804,"Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://a"
192,T0857,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
193,T0857,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
194,T0857,M0813,Authenticate connections fromsoftware and devices to prevent unauthorized systems from accessing protected management functions.
195,T0858,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
196,T0858,M0801,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS."
197,T0858,M0800,"All field controllers should restrict operating mode changes to only required authenticated users (e.g., engineers, field technicians), preferably through implementing a role-based access mechanism. Further, physical mechanisms (e.g., keys) can also be us"
198,T0858,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
199,T0858,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attac"
200,T0858,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
201,T0858,M0813,Authenticate connections fromsoftware and devices to prevent unauthorized systems from accessing protected management functions.
202,T0859,M0932,"Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining access to valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting"
203,T0859,M0918,"Ensure users and user groups have appropriate permissions for their roles through Identity and Access Management (IAM) controls. Implement strict IAM controls to prevent access to systems except for the applications, users, and services that require acces"
204,T0859,M0801,"Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS."
205,T0859,M0936,"Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability. (Citation: Keith Stouff"
206,T0859,M0915,"Consider configuration and use of a network-wide authentication service such as Active Directory, LDAP, or RADIUS capabilities which can be found in ICS devices. (Citation: Keith Stouffer May 2015) (Citation: Schweitzer Engineering Laboratories August 201"
207,T0859,M0913,"Ensure that applications and devices do not store sensitive data or credentials insecurely (e.g., plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage). (Citation: CISA June 2013)"
208,T0859,M0947,"Routinely audit source code, application configuration files, open repositories, and public cloud storage for insecure use and storage of credentials."
209,T0859,M0937,Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data.
210,T0859,M0927,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: CISA June 2013)"
