Junction ID,ATT&CK Technique,Security Control ID,ATT&CK Technique Name,Control Family,Control Name,Mapping Type,Reference Source,ATT&CK Version,Domain,Creation Date,Last Update
55,T1587.001,,Malware,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
56,T1587,,Develop Capabilities,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
57,T1584.007,,Serverless,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
58,T1584.006,,Web Services,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
59,T1584.005,,Botnet,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
60,T1584.004,,Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
61,T1584.003,,Virtual Private Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
62,T1584.002,,DNS Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
63,T1584.001,,Domains,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
64,T1584,,Compromise Infrastructure,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
65,T1586.003,,Cloud Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
66,T1586.002,,Email Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
67,T1586.001,,Social Media Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
68,T1586,,Compromise Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
69,T1595.003,,Wordlist Scanning,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
70,T1595.002,,Vulnerability Scanning,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
71,T1595.001,,Scanning IP Blocks,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
72,T1595,,Active Scanning,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
73,T1583.008,,Malvertising,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
74,T1583.007,,Serverless,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
75,T1583.006,,Web Services,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
76,T1583.005,,Botnet,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
77,T1583.004,,Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
78,T1583.003,,Virtual Private Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
79,T1583.002,,DNS Server,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
80,T1583.001,,Domains,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
81,T1583,,Acquire Infrastructure,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
82,T1650,,Acquire Access,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
83,T1656,,Impersonation,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
84,T1566.004,,Spearphishing Voice,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
85,T1598.004,,Spearphishing Voice,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
86,T1036.009,,Break Process Trees,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
87,T1016.002,,Wi-Fi Discovery,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
88,T1652,,Device Driver Discovery,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
89,T1564.011,,Ignore Process Interrupts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
90,T1001,AC-04-00,Data Obfuscation,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
91,T1001,CA-07-00,Data Obfuscation,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
92,T1001,CM-02-00,Data Obfuscation,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
93,T1001,CM-06-00,Data Obfuscation,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
94,T1001,SC-07-00,Data Obfuscation,System and Communications Protection,Boundary Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
95,T1001,SI-03-00,Data Obfuscation,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
96,T1001,SI-04-00,Data Obfuscation,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
97,T1001.001,AC-04-00,Junk Data,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
98,T1001.001,CA-07-00,Junk Data,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
99,T1001.001,CM-02-00,Junk Data,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
100,T1001.001,CM-06-00,Junk Data,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
101,T1001.001,SC-07-00,Junk Data,System and Communications Protection,Boundary Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
102,T1001.001,SI-03-00,Junk Data,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
103,T1001.001,SI-04-00,Junk Data,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
104,T1001.002,AC-04-00,Steganography,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
105,T1001.002,CA-07-00,Steganography,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
106,T1001.002,CM-02-00,Steganography,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
107,T1001.002,CM-06-00,Steganography,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
108,T1001.002,SC-07-00,Steganography,System and Communications Protection,Boundary Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
109,T1001.002,SI-03-00,Steganography,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
110,T1001.002,SI-04-00,Steganography,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
111,T1001.003,AC-04-00,Protocol Impersonation,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
112,T1001.003,CA-07-00,Protocol Impersonation,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
113,T1001.003,CM-02-00,Protocol Impersonation,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
114,T1001.003,CM-06-00,Protocol Impersonation,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
115,T1001.003,SC-07-00,Protocol Impersonation,System and Communications Protection,Boundary Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
116,T1001.003,SI-03-00,Protocol Impersonation,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
117,T1001.003,SI-04-00,Protocol Impersonation,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
118,T1003,AC-16-00,OS Credential Dumping,Access Control,Security and Privacy Attributes,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
119,T1003,AC-02-00,OS Credential Dumping,Access Control,Account Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
120,T1003,AC-03-00,OS Credential Dumping,Access Control,Access Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
121,T1003,AC-04-00,OS Credential Dumping,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
122,T1003,AC-05-00,OS Credential Dumping,Access Control,Separation of Duties,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
123,T1003,AC-06-00,OS Credential Dumping,Access Control,Least Privilege,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
124,T1003,CA-07-00,OS Credential Dumping,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
125,T1003,CM-02-00,OS Credential Dumping,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
126,T1003,CM-05-00,OS Credential Dumping,Configuration Management,Access Restrictions for Change,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
127,T1003,CM-06-00,OS Credential Dumping,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
128,T1003,CM-07-00,OS Credential Dumping,Configuration Management,Least Functionality,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
129,T1003,CP-09-00,OS Credential Dumping,Contingency Planning,System Backup,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
130,T1003,IA-02-00,OS Credential Dumping,Identification and Authentication,Identification and Authentication (organizational Users),Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
131,T1003,IA-04-00,OS Credential Dumping,Identification and Authentication,Identifier Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
132,T1003,IA-05-00,OS Credential Dumping,Identification and Authentication,Authenticator Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
133,T1003,SC-28-00,OS Credential Dumping,System and Communications Protection,Protection of Information at Rest,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
134,T1003,SC-39-00,OS Credential Dumping,System and Communications Protection,Process Isolation,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
135,T1003,SI-12-00,OS Credential Dumping,System and Information Integrity,Information Management and Retention,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
136,T1003,SI-02-00,OS Credential Dumping,System and Information Integrity,Flaw Remediation,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
137,T1003,SI-03-00,OS Credential Dumping,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
138,T1003,SI-04-00,OS Credential Dumping,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
139,T1003,SI-07-00,OS Credential Dumping,System and Information Integrity,"Software, Firmware, and Information Integrity",Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
140,T1003.003,AC-16-00,NTDS,Access Control,Security and Privacy Attributes,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
141,T1003.003,AC-02-00,NTDS,Access Control,Account Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
142,T1003.003,AC-03-00,NTDS,Access Control,Access Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
143,T1003.003,AC-05-00,NTDS,Access Control,Separation of Duties,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
144,T1003.003,AC-06-00,NTDS,Access Control,Least Privilege,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
145,T1003.003,CA-07-00,NTDS,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
146,T1003.003,CM-02-00,NTDS,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
147,T1003.003,CM-05-00,NTDS,Configuration Management,Access Restrictions for Change,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
148,T1003.003,CM-06-00,NTDS,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
149,T1003.003,CP-09-00,NTDS,Contingency Planning,System Backup,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
150,T1003.003,IA-02-00,NTDS,Identification and Authentication,Identification and Authentication (organizational Users),Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
151,T1003.003,IA-05-00,NTDS,Identification and Authentication,Authenticator Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
152,T1003.003,SC-28-00,NTDS,System and Communications Protection,Protection of Information at Rest,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
153,T1003.003,SC-39-00,NTDS,System and Communications Protection,Process Isolation,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
154,T1003.003,SI-12-00,NTDS,System and Information Integrity,Information Management and Retention,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
155,T1003.003,SI-03-00,NTDS,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
156,T1003.003,SI-04-00,NTDS,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
157,T1003.003,SI-07-00,NTDS,System and Information Integrity,"Software, Firmware, and Information Integrity",Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
158,T1003.004,AC-02-00,LSA Secrets,Access Control,Account Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
159,T1003.004,AC-03-00,LSA Secrets,Access Control,Access Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
160,T1003.004,AC-05-00,LSA Secrets,Access Control,Separation of Duties,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
161,T1003.004,AC-06-00,LSA Secrets,Access Control,Least Privilege,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
162,T1003.004,CA-07-00,LSA Secrets,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
163,T1003.004,CM-02-00,LSA Secrets,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
164,T1003.004,CM-05-00,LSA Secrets,Configuration Management,Access Restrictions for Change,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
165,T1003.004,CM-06-00,LSA Secrets,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
166,T1003.004,IA-02-00,LSA Secrets,Identification and Authentication,Identification and Authentication (organizational Users),Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
167,T1003.004,IA-05-00,LSA Secrets,Identification and Authentication,Authenticator Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
168,T1003.004,SC-28-00,LSA Secrets,System and Communications Protection,Protection of Information at Rest,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
169,T1003.004,SC-39-00,LSA Secrets,System and Communications Protection,Process Isolation,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
170,T1003.004,SI-03-00,LSA Secrets,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
171,T1003.004,SI-04-00,LSA Secrets,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
172,T1003.005,AC-02-00,Cached Domain Credentials,Access Control,Account Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
173,T1003.005,AC-03-00,Cached Domain Credentials,Access Control,Access Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
174,T1003.005,AC-04-00,Cached Domain Credentials,Access Control,Information Flow Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
175,T1003.005,AC-05-00,Cached Domain Credentials,Access Control,Separation of Duties,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
176,T1003.005,AC-06-00,Cached Domain Credentials,Access Control,Least Privilege,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
177,T1003.005,CA-07-00,Cached Domain Credentials,Security Assessment and Authorization,Continuous Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
178,T1003.005,CM-02-00,Cached Domain Credentials,Configuration Management,Baseline Configuration,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
179,T1003.005,CM-05-00,Cached Domain Credentials,Configuration Management,Access Restrictions for Change,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
180,T1003.005,CM-06-00,Cached Domain Credentials,Configuration Management,Configuration Settings,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
181,T1003.005,CM-07-00,Cached Domain Credentials,Configuration Management,Least Functionality,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
182,T1003.005,IA-02-00,Cached Domain Credentials,Identification and Authentication,Identification and Authentication (organizational Users),Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
183,T1003.005,IA-04-00,Cached Domain Credentials,Identification and Authentication,Identifier Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
184,T1003.005,IA-05-00,Cached Domain Credentials,Identification and Authentication,Authenticator Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
185,T1003.005,SC-28-00,Cached Domain Credentials,System and Communications Protection,Protection of Information at Rest,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
186,T1003.005,SC-39-00,Cached Domain Credentials,System and Communications Protection,Process Isolation,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
187,T1003.005,SI-03-00,Cached Domain Credentials,System and Information Integrity,Malicious Code Protection,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
188,T1003.005,SI-04-00,Cached Domain Credentials,System and Information Integrity,System Monitoring,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
189,T1003.006,AC-02-00,DCSync,Access Control,Account Management,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
190,T1003.006,AC-03-00,DCSync,Access Control,Access Enforcement,Protects,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
