Junction ID,Security Control ID,Resiliency Approach
211,SC-07-22,Predefined Segmentation
198,AU-09-02,Predefined Segmentation
206,SC-07-03,Predefined Segmentation
215,SC-32-00,Predefined Segmentation
207,SC-07-05,Predefined Segmentation
217,SC-39-00,Predefined Segmentation
196,AC-04-21,Predefined Segmentation
222,CP-09-08,Protected Backup and Restore
221,CP-09-00,Protected Backup and Restore
231,SR-04-00,Provenance Tracking
228,SI-07-15,Provenance Tracking
235,SR-04-04,Provenance Tracking
236,SR-05-00,Provenance Tracking
226,PM-30-01,Provenance Tracking
227,SC-07-11,Provenance Tracking
233,SR-04-02,Provenance Tracking
223,AC-04-17,Provenance Tracking
234,SR-04-03,Provenance Tracking
232,SR-04-01,Provenance Tracking
229,SI-10-05,Provenance Tracking
224,AU-10-02,Provenance Tracking
230,SI-14-01,Provenance Tracking
225,CM-14-00,Provenance Tracking
237,SR-11-00,Provenance Tracking
238,CM-07-04,Purposing
239,CM-07-05,Purposing
242,CP-09-06,Replication
240,AC-04-27,Replication
241,AC-04-30,Replication
243,SC-22-00,Replication
244,SC-36-00,Replication
249,SC-25-00,Restriction
247,CM-08-03,Restriction
248,SC-03-03,Restriction
250,SI-16-00,Restriction
246,CM-07-04,Restriction
245,CM-07-02,Restriction
252,AT-03-03,Self-Challenge
254,CA-08-02,Self-Challenge
253,CA-08-00,Self-Challenge
257,SR-06-01,Self-Challenge
256,SI-19-08,Self-Challenge
255,SC-07-10,Self-Challenge
251,AT-02-01,Self-Challenge
258,SR-07-00,Self-Challenge
260,AU-06-05,Sensor Fusion and Analysis
259,AU-06-03,Sensor Fusion and Analysis
262,IR-04-13,Sensor Fusion and Analysis
261,IR-04-04,Sensor Fusion and Analysis
266,SI-04-24,Sensor Fusion and Analysis
265,SI-04-16,Sensor Fusion and Analysis
264,SI-04-01,Sensor Fusion and Analysis
263,RA-05-10,Sensor Fusion and Analysis
267,SA-20-00,Specialization
268,SA-23-00,Specialization
269,IA-05-00,Standard practice
272,SC-29-01,Standard practice
271,SC-28-01,Standard practice
270,IA-05-07,Standard practice
275,SR-03-02,Supply Chain Diversity
273,PL-08-02,Supply Chain Diversity
274,SR-03-01,Supply Chain Diversity
276,SC-05-02,Surplus Capacity
277,SI-16-00,Synthetic Diversity
278,SC-30-04,Tainting
279,SI-20-00,Tainting
283,SI-16-00,Temporal Unpredictability
282,SC-30-03,Temporal Unpredictability
281,SC-30-02,Temporal Unpredictability
280,SC-23-03,Temporal Unpredictability
284,AC-06-04,Trust-Based Privilege Management
288,AC-06-03,Trust-Based Privilege Management
291,AC-06-08,Trust-Based Privilege Management
294,AU-09-06,Trust-Based Privilege Management
295,CM-05-05,Trust-Based Privilege Management
287,AC-06-02,Trust-Based Privilege Management
296,CM-07-06,Trust-Based Privilege Management
292,AC-06-10,Trust-Based Privilege Management
286,AC-06-00,Trust-Based Privilege Management
293,AC-23-00,Trust-Based Privilege Management
289,AC-06-05,Trust-Based Privilege Management
290,AC-06-07,Trust-Based Privilege Management
285,SC-07-15,Trust-Based Privilege Management
297,AC-06-05,Trust-Based Usage Restriction
