ATT&CK Tactic ID,ATT&CK Tactic Name,ATT&CK Tactic Description,STIX ID,URL,Created,Last Modified,Domain,Version,Type
TA0011,Command and Control,The adversary is trying to communicate with compromised systems to control them.  Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to ,x-mitre-tactic--f72804c5-f15a-449e-a5da-2eecd181f813,https://attack.mitre.org/tactics/TA0011,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0027,Initial Access,The adversary is trying to get into your device.  The initial access tactic represents the vectors adversaries use to gain an initial foothold onto a mobile device.,x-mitre-tactic--0a93fd8e-4a83-4c15-8203-db290e5f2ac6,https://attack.mitre.org/tactics/TA0027,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0028,Persistence," The adversary is trying to maintain their foothold.  Persistence is any access, action, or configuration change to a mobile device that gives an attacker a persistent presence on the device. Attackers often will need to maintain access to mobile devices ",x-mitre-tactic--363bbeff-bb2a-4734-ac74-d6d37202fe54,https://attack.mitre.org/tactics/TA0028,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0029,Privilege Escalation, The adversary is trying to gain higher-level permissions.  Privilege escalation includes techniques that allow an attacker to obtain a higher level of permissions on the mobile device. Attackers may enter the mobile device with very limited privileges an,x-mitre-tactic--3e962de5-3280-43b7-bc10-334fbc1d6fa8,https://attack.mitre.org/tactics/TA0029,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0030,Defense Evasion, The adversary is trying to avoid being detected.  Defense evasion consists of techniques an adversary may use to evade detection or avoid other defenses. Sometimes these actions are the same as or variations of techniques in other categories that have th,x-mitre-tactic--987cda6d-eb77-406b-bf68-bcb5f3d2e1df,https://attack.mitre.org/tactics/TA0030,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0031,Credential Access,"The adversary is trying to steal account names, passwords, or other secrets that enable access to resources.  Credential access represents techniques that can be used by adversaries to obtain access to or control over passwords, tokens, cryptographic keys",x-mitre-tactic--6fcb36b8-3776-483b-8699-42215714fb10,https://attack.mitre.org/tactics/TA0031,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0032,Discovery,The adversary is trying to figure out your environment.  Discovery consists of techniques that allow the adversary to gain knowledge about the characteristics of the mobile device and potentially other networked systems. When adversaries gain access to a ,x-mitre-tactic--d418cdeb-1b9f-4a6b-a15d-2f89f549f8c1,https://attack.mitre.org/tactics/TA0032,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0033,Lateral Movement,"The adversary is trying to move through your environment.  Lateral movement consists of techniques that enable an adversary to access and control remote systems on a network and could, but does not necessarily, include execution of tools on remote systems",x-mitre-tactic--7be441c2-0095-4b1e-8125-fa8ffda29b0f,https://attack.mitre.org/tactics/TA0033,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0034,Impact,"The adversary is trying to manipulate, interrupt, or destroy your devices and data.  The impact tactic consists of techniques used by the adversary to execute his or her mission objectives but that do not cleanly fit into another category such as Collecti",x-mitre-tactic--6ebce653-294a-444a-bffb-14c04c8d137e,https://attack.mitre.org/tactics/TA0034,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0035,Collection,"The adversary is trying to gather data of interest to their goal.  Collection consists of techniques used to identify and gather information, such as sensitive files, from a target network prior to exfiltration. This category also covers locations on a sy",x-mitre-tactic--7a0d25d3-f0c0-40bf-bf90-c743871b19ba,https://attack.mitre.org/tactics/TA0035,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0036,Exfiltration,"The adversary is trying to steal data.  Exfiltration refers to techniques and attributes that result or aid in the adversary removing files and information from the targeted mobile device.  In the mobile environment, mobile devices are frequently connecte",x-mitre-tactic--10fa8d8d-1b04-4176-917e-738724239981,https://attack.mitre.org/tactics/TA0036,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0037,Command and Control,The adversary is trying to communicate with compromised devices to control them.  The command and control tactic represents how adversaries communicate with systems under their control within a target network. There are many ways an adversary can establis,x-mitre-tactic--3f660805-fa2e-42e8-8851-57f9e9b653e3,https://attack.mitre.org/tactics/TA0037,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0040,Impact,"The adversary is trying to manipulate, interrupt, or destroy your systems and data.   Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes. Techniques used fo",x-mitre-tactic--5569339b-94c2-49ee-afb3-2222936582c8,https://attack.mitre.org/tactics/TA0040,14 March 2019,25 July 2019,enterprise-attack,1.0,Enterprise
TA0041,Execution,The adversary is trying to run malicious code.  Execution consists of techniques that result in adversary-controlled code running on a mobile device. Techniques that run malicious code are often paired with techniques from all other tactics to achieve bro,x-mitre-tactic--4a800987-a3a8-4d56-a1bd-0d7171431756,https://attack.mitre.org/tactics/TA0041,27 January 2020,27 January 2020,mobile-attack,1.0,Mobile
TA0042,Resource Development,"The adversary is trying to establish resources they can use to support operations.  Resource Development consists of techniques that involve adversaries creating, purchasing, or compromising/stealing resources that can be used to support targeting. Such r",x-mitre-tactic--d679bca2-e57d-4935-8650-8031c87a4400,https://attack.mitre.org/tactics/TA0042,30 September 2020,30 September 2020,enterprise-attack,1.0,Enterprise
TA0043,Reconnaissance,The adversary is trying to gather information they can use to plan future operations.  Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting. Such information may i,x-mitre-tactic--daa4cbb1-b4f4-4723-a824-7f1efd6e0592,https://attack.mitre.org/tactics/TA0043,02 October 2020,18 October 2020,enterprise-attack,1.0,Enterprise
TA0100,Collection,The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal.  Collection consists of techniques adversaries use to gather domain knowledge and obtain contextual feedback in an ICS environment. This ,x-mitre-tactic--b2a67b1e-913c-46f6-b219-048a90560bb9,https://attack.mitre.org/tactics/TA0100,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0101,Command and Control,"The adversary is trying to communicate with and control compromised systems, controllers, and platforms with access to your ICS environment.  Command and Control consists of techniques that adversaries use to communicate with and send commands to compromi",x-mitre-tactic--97c8ff73-bd14-4b6c-ac32-3d91d2c41e3f,https://attack.mitre.org/tactics/TA0101,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0102,Discovery,"The adversary is locating information to assess and identify their targets in your environment.  Discovery consists of techniques that adversaries use to survey your ICS environment and gain knowledge about the internal network, control system devices, an",x-mitre-tactic--696af733-728e-49d7-8261-75fdc590f453,https://attack.mitre.org/tactics/TA0102,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0103,Evasion,"The adversary is trying to avoid security defenses.  Evasion consists of techniques that adversaries use to avoid technical defenses throughout their campaign. Techniques used for evasion include removal of indicators of compromise, spoofing communication",x-mitre-tactic--ddf70682-f3ce-479c-a9a4-7eadf9bfead7,https://attack.mitre.org/tactics/TA0103,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0104,Execution,"The adversary is trying to run code or manipulate system functions, parameters, and data in an unauthorized way.  Execution consists of techniques that result in adversary-controlled code running on a local or remote system, device, or other asset. This e",x-mitre-tactic--93bf9a8e-b14c-4587-b6d5-9efc7c12eb45,https://attack.mitre.org/tactics/TA0104,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0105,Impact,"The adversary is trying to manipulate, interrupt, or destroy your ICS systems, data, and their surrounding environment.  Impact consists of techniques that adversaries use to disrupt, compromise, destroy, and manipulate the integrity and availability of c",x-mitre-tactic--77542f83-70d0-40c2-8a9d-ad2eb8b00279,https://attack.mitre.org/tactics/TA0105,14 March 2019,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0106,Impair Process Control,"The adversary is trying to manipulate, disable, or damage physical control processes.  Impair Process Control consists of techniques that adversaries use to disrupt control logic and cause determinantal effects to processes being controlled in the target ",x-mitre-tactic--ff048b6c-b872-4218-b68c-3735ebd1f024,https://attack.mitre.org/tactics/TA0106,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0107,Inhibit Response Function,"The adversary is trying to prevent your safety, protection, quality assurance, and operator intervention functions from responding to a failure, hazard, or unsafe state.  Inhibit Response Function consists of techniques that adversaries use to hinder the ",x-mitre-tactic--298fe907-7931-4fd2-8131-2814dd493134,https://attack.mitre.org/tactics/TA0107,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0108,Initial Access,The adversary is trying to get into your ICS environment.  Initial Access consists of techniques that adversaries may use as entry vectors to gain an initial foothold within an ICS environment. These techniques include compromising operational technology ,x-mitre-tactic--69da72d2-f550-41c5-ab9e-e8255707f28a,https://attack.mitre.org/tactics/TA0108,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0109,Lateral Movement,"The adversary is trying to move through your ICS environment.  Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. These techniques abuse default credentials, known accounts, and vulnerable servic",x-mitre-tactic--51c25a9e-8615-40c0-8afd-1da578847924,https://attack.mitre.org/tactics/TA0109,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0110,Persistence,"The adversary is trying to maintain their foothold in your ICS environment.  Persistence consists of techniques that adversaries use to maintain access to ICS systems and devices across restarts, changed credentials, and other interruptions that could cut",x-mitre-tactic--78f1d2ae-a579-44c4-8fc5-3e1775c73fac,https://attack.mitre.org/tactics/TA0110,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0111,Privilege Escalation,The adversary is trying to gain higher-level permissions.  Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access,x-mitre-tactic--33752ae7-f875-4f43-bdb6-d8d02d341046,https://attack.mitre.org/tactics/TA0111,10 April 2021,29 September 2022,ics-attack,1.0,Industrial Control Systems
