ATT&CK Technique ID,ATT&CK Technique Name,ATT&CK Technique Description,STIX ID,URL,Created,Last Modified,Domain,Version,Detection,Platforms,Data Source,Citations,Type
T0812,Default Credentials,Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to,attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,https://attack.mitre.org/techniques/T0812,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Logon Session: Logon Session Creation, Network Traffic: Network Traffic Content",",,",Industrial Control Systems
T0813,Denial of Control,Adversaries may cause a denial of control to temporarily prevent operators and engineers from interacting with process controls. An adversary may attempt to deny process control access to cause a temporary loss of communication with the control device or ,attack-pattern--e33c7ecc-5a38-497f-beb2-a9a2049a4c20,https://attack.mitre.org/techniques/T0813,21 May 2020,13 October 2023,ics-attack,1.1,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Booz Allen Hamilton),(Citation: Marshall Abrams July 2008),(Citation: M. Rentschler and H. Heine),(Citation: National Institute of Standards and Technology Apri",Industrial Control Systems
T0814,Denial of Service,Adversaries may perform Denial-of-Service (DoS) attacks to disrupt expected device functionality. Examples of DoS attacks include overwhelming the target device with a high volume of requests in a short time period and sending the target device a request ,attack-pattern--1b22b676-9347-4c55-9a35-ef0dc653db5b,https://attack.mitre.org/techniques/T0814,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),(Citation: ICS-CERT August 2018),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),,",Industrial Control Systems
T0815,Denial of View,"Adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ICS environment. This may manifest itself as a temporary communication failure between a device and its control source, where the interface rec",attack-pattern--56ddc820-6cfb-407f-850b-52c035d123ac,https://attack.mitre.org/techniques/T0815,21 May 2020,13 October 2023,ics-attack,1.1,,None,,"(Citation: Anton Cherepanov, ESET June 2017),(Citation: Marshall Abrams July 2008),(Citation: M. Rentschler and H. Heine),(Citation: National Institute of Standards and Technology April 2013),(Citation: Department of Homeland Security October 2009),",Industrial Control Systems
T0816,Device Restart/Shutdown,"Adversaries may forcibly restart or shutdown a device in an ICS environment to disrupt and potentially negatively impact physical processes. Methods of device restart and shutdown exist in some devices as built-in, standard functionalities. These function",attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,https://attack.mitre.org/techniques/T0816,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Operational Databases: Device Alarm","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),(Citation: Booz Allen Hamilton),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0817,Drive-by Compromise,"Adversaries may gain access to a system during a drive-by compromise, when a user visits a website as part of a regular browsing session. With this technique, the user's web browser is targeted and exploited simply by visiting the compromised website.   T",attack-pattern--7830cfcf-b268-4ac0-a69e-73c6affbae9a,https://attack.mitre.org/techniques/T0817,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, File: File Creation, Network Traffic: Network Connection Creation, Network Traffic: Network Traffic Content, Process: Process Creation","(Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017),(Citation: Chris Bing May 2018),(Citation: Eduard Kovacs May 2018),(Citation: Symantec Security Response July 2014),,",Industrial Control Systems
T0819,Exploit Public-Facing Application,"Adversaries may leverage weaknesses to exploit internet-facing software for initial access into an industrial network. Internet-facing software may be user applications, underlying networking implementations, an assets operating system, weak defenses, etc",attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,https://attack.mitre.org/techniques/T0819,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content","(Citation: ICS-CERT December 2014),(Citation: ICS CERT September 2018),(Citation: Keith Stouffer May 2015),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: National Institute of Standards and Technology April 2013),",Industrial Control Systems
T0820,Exploitation for Evasion,"Adversaries may exploit a software vulnerability to take advantage of a programming error in a program, service, or within the operating system software or kernel itself to evade detection. Vulnerabilities may exist in software that can be used to disable",attack-pattern--9f947a1c-3860-48a8-8af0-a2dfa3efde03,https://attack.mitre.org/techniques/T0820,21 May 2020,13 October 2023,ics-attack,1.1,,None,Application Log: Application Log Content,"(Citation: The Office of Nuclear Reactor Regulation),(Citation: Schneider Electric January 2018),(Citation: ICS-CERT December 2018),(Citation: DHS CISA February 2019),(Citation: Microsoft Security Response Center August 2017),(Citation: Dan Goodin March 2",Industrial Control Systems
T0821,Modify Controller Tasking,"Adversaries may modify the tasking of a controller to allow for the execution of their own programs. This can allow an adversary to manipulate the execution flow and behavior of a controller.   According to 61131-3, the association of a Task with a Progra",attack-pattern--09a61657-46e1-439e-b3ed-3e4556a78243,https://attack.mitre.org/techniques/T0821,13 April 2021,13 October 2023,ics-attack,1.2,,None,"Application Log: Application Log Content, Asset: Software, Operational Databases: Device Alarm","(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: DHS CISA February 2019),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),(Citation: Jos Wetzels January 2018),(Citation: IEC February 2019),",Industrial Control Systems
T0822,External Remote Services,"Adversaries may leverage external remote services as a point of initial access into your network. These services allow users to connect to internal network resources from external locations. Examples are VPNs, Citrix, and other access mechanisms. Remote s",attack-pattern--8d2f3bab-507c-4424-b58b-edc977bd215c,https://attack.mitre.org/techniques/T0822,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Logon Session: Logon Session Metadata, Network Traffic: Network Traffic Flow","(Citation: Booz Allen Hamilton),(Citation: Marshall Abrams July 2008),(Citation: Keith Stouffer May 2015),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0823,Graphical User Interface,Adversaries may attempt to gain access to a machine via a Graphical User Interface (GUI) to enhance execution capabilities. Access to a GUI allows a user to interact with a computer in a more visual manner than a CLI. A GUI allows users to move a cursor a,attack-pattern--b0628bfc-5376-4a38-9182-f324501cb4cf,https://attack.mitre.org/techniques/T0823,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Command: Command Execution, Logon Session: Logon Session Creation, Module: Module Load, Process: Process Creation","(Citation: Ukraine15 - EISAC - 201603),,",Industrial Control Systems
T0826,Loss of Availability,Adversaries may attempt to disrupt essential components or systems to prevent owner and operator from delivering products or services. (Citation: Corero) (Citation: Michael J. Assante and Robert M. Lee) (Citation: Tyson Macaulay)   Adversaries may leverag,attack-pattern--b5b9bacb-97f2-4249-b804-47fd44de1f95,https://attack.mitre.org/techniques/T0826,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Ukraine15 - EISAC - 201603),(Citation: Booz Allen Hamilton),(Citation: Catalin Cimpanu April 2016),(Citation: M. Rentschler and H. Heine),(Citation: National Institute of Standards and Technology April 2013),(Citation: Department of Homeland Se",Industrial Control Systems
T0827,Loss of Control,Adversaries may seek to achieve a sustained loss of control or a runaway condition in which operators cannot issue any commands even if the malicious interference has subsided. (Citation: Corero) (Citation: Michael J. Assante and Robert M. Lee) (Citation:,attack-pattern--a81696ef-c106-482c-8f80-59c30f2569fb,https://attack.mitre.org/techniques/T0827,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Hydro),(Citation: Kevin Beaumont),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),(Citation: M. Rentschler and H. Heine),(Citation: National Institute of Standards and Technology April 2013),(Citation: Depart",Industrial Control Systems
T0828,Loss of Productivity and Revenue,"Adversaries may cause loss of productivity and revenue through disruption and even damage to the availability and integrity of control system operations, devices, and related processes. This technique may manifest as a direct effect of an ICS-targeting at",attack-pattern--63b6942d-8359-4506-bfb3-cf87aa8120ee,https://attack.mitre.org/techniques/T0828,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Kelly Jackson Higgins),(Citation: Kevin Beaumont),(Citation: Selena Larson, Camille Singleton December 2020),(Citation: Ukraine15 - EISAC - 201603),(Citation: Hydro),(Citation: Booz Allen Hamilton),(Citation: Catalin Cimpanu April 2016),(Citati",Industrial Control Systems
T0829,Loss of View,"Adversaries may cause a sustained or permanent loss of view where the ICS equipment will require local, hands-on operator intervention; for instance, a restart or manual operation. By causing a sustained reporting or visibility loss, the adversary can eff",attack-pattern--138979ba-0430-4de6-a128-2fc0b056ba36,https://attack.mitre.org/techniques/T0829,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Hydro),(Citation: Kevin Beaumont),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Booz Allen Hamilton),(Citation: M. Rentschler and H. Heine),(Citation: National Institute of Standards and Technology April 2013),(Citation: Department of",Industrial Control Systems
T0830,Adversary-in-the-Middle,Adversaries with privileged network access may seek to modify network traffic in real time using adversary-in-the-middle (AiTM) attacks. (Citation: Gabriel Sanchez October 2017) This type of attack allows the adversary to intercept traffic to and/or from ,attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,https://attack.mitre.org/techniques/T0830,21 May 2020,13 October 2023,ics-attack,2.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Process: Process Creation, Service: Service Creation, Windows Registry: Windows Registry Key Modification","(Citation: Carl Hurd March 2019),(Citation: William Largent June 2018),,",Industrial Control Systems
T0831,Manipulation of Control,"Adversaries may manipulate physical process control within the industrial environment. Methods of manipulating control can include changes to set point values, tags, or other parameters. Adversaries may manipulate control systems devices or possibly lever",attack-pattern--1af9e3fd-2bcc-414d-adbd-fe3b95c02ca1,https://attack.mitre.org/techniques/T0831,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),(Citation: Department of Homeland Security October 2009),",Industrial Control Systems
T0832,Manipulation of View,Adversaries may attempt to manipulate the information reported back to operators or controllers. This manipulation may be short term or sustained. During this time the process itself could be in a much different state than what is reported. (Citation: Cor,attack-pattern--4c2e1408-9d68-4187-8e6b-a77bc52700ec,https://attack.mitre.org/techniques/T0832,21 May 2020,13 October 2023,ics-attack,1.0,,None,,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Langer Stuxnet),(Citation: Department of Homeland Security October 2009),",Industrial Control Systems
T0834,Native API,"Adversaries may directly interact with the native OS application programming interface (API) to access system functions. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, m",attack-pattern--b52870cc-83f3-473c-b895-72d91751030b,https://attack.mitre.org/techniques/T0834,13 April 2021,13 October 2023,ics-attack,1.0,,None,Process: OS API Execution,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),(Citation: Jos Wetzels January 2018),,",Industrial Control Systems
T0835,Manipulate I/O Image,Adversaries may manipulate the I/O image of PLCs through various means to prevent them from functioning as expected. Methods of I/O image manipulation may include overriding the I/O table via direct memory manipulation or using the override function used ,attack-pattern--36e9f5bc-ac13-4da4-a2f4-01f4877d9004,https://attack.mitre.org/techniques/T0835,21 May 2020,13 October 2023,ics-attack,1.1,,None,Asset: Software,"(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),,",Industrial Control Systems
T0836,Modify Parameter,Adversaries may modify parameters used to instruct industrial control system devices. These devices operate via programs that dictate how and when to perform actions based on such parameters. Such parameters can determine the extent to which an action is ,attack-pattern--097924ce-a9a9-4039-8591-e0deedfb8722,https://attack.mitre.org/techniques/T0836,21 May 2020,13 October 2023,ics-attack,1.3,,None,"Application Log: Application Log Content, Asset: Asset Inventory, Network Traffic: Network Traffic Content, Operational Databases: Device Alarm","(Citation: Industroyer2 Forescout July 2022),(Citation: Marshall Abrams July 2008),(Citation: Wylie-22),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Industroyer2 Mandiant April 2022),(Citation: PLCTop20 Mar 2023),",Industrial Control Systems
T0837,Loss of Protection,"Adversaries may compromise protective system functions designed to prevent the effects of faults and abnormal conditions. This can result in equipment damage, prolonged process disruptions and hazards to personnel.   Many faults and abnormal conditions in",attack-pattern--2bb4d762-bf4a-4bc3-9318-15cc6a354163,https://attack.mitre.org/techniques/T0837,12 April 2021,13 October 2023,ics-attack,1.0,,None,,"(Citation: Joe Slowik August 2019),,",Industrial Control Systems
T0838,Modify Alarm Settings,Adversaries may modify alarm settings to prevent alerts that may inform operators of their presence or to prevent responses to dangerous and unintended scenarios. Reporting messages are a standard part of data acquisition in control systems. Reporting mes,attack-pattern--e5de767e-f513-41cd-aa15-33f6ce5fbf92,https://attack.mitre.org/techniques/T0838,21 May 2020,13 October 2023,ics-attack,1.2,,None,"Application Log: Application Log Content, Asset: Asset Inventory, Network Traffic: Network Traffic Content, Operational Databases: Process History/Live Data","(Citation: Marshall Abrams July 2008),(Citation: N/A),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0839,Module Firmware,Adversaries may install malicious or vulnerable firmware onto modular hardware devices. Control system devices often contain modular hardware devices. These devices may have their own set of firmware that is separate from the firmware of the main control ,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,https://attack.mitre.org/techniques/T0839,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Firmware: Firmware Modification, Network Traffic: Network Traffic Content, Operational Databases: Device Alarm",",(Citation: N/A),(Citation: ESET Research Whitepapers September 2018),(Citation: Department of Homeland Security September 2016),(Citation: Intel),",Industrial Control Systems
T0840,Network Connection Enumeration,"Adversaries may perform network connection enumeration to discover information about device communication patterns. If an adversary can inspect the state of a network connection with tools, such as Netstat(Citation: Netstat), in conjunction with [System F",attack-pattern--ea0c980c-5cf0-43a7-a049-59c4c207566e,https://attack.mitre.org/techniques/T0840,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Command: Command Execution, Process: OS API Execution, Process: Process Creation, Script: Script Execution","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ben Hunter and Fred Gutierrez July 2020),,",Industrial Control Systems
T0842,Network Sniffing,Network sniffing is the practice of using a network interface on a computer system to monitor or capture information (Citation: Enterprise ATT&CK January 2018) regardless of whether it is the specified destination for the information.   An adversary may a,attack-pattern--38213338-1aab-479d-949b-c81b66ccca5c,https://attack.mitre.org/techniques/T0842,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Command: Command Execution, Process: Process Creation","(Citation: Carl Hurd March 2019),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: William Largent June 2018),(Citation: Wylie-22),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology",Industrial Control Systems
T0843,Program Download,"Adversaries may perform a program download to transfer a user program to a controller.   Variations of program download, such as online edit and program append, allow a controller to continue running during the transfer and reconfiguration process without",attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,https://attack.mitre.org/techniques/T0843,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Asset: Asset Inventory, Network Traffic: Network Traffic Content, Operational Databases: Device Alarm","(Citation: Wylie-22),(Citation: Brubaker-Incontroller),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Jos Wetzels January 2018),(Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016),(Citation: IEC",Industrial Control Systems
T0845,Program Upload,"Adversaries may attempt to upload a program from a PLC to gather information about an industrial process. Uploading a program may allow them to acquire and study the underlying logic. Methods of program upload include vendor software, which enables the us",attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,https://attack.mitre.org/techniques/T0845,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow","(Citation: MDudek-ICS),(Citation: Wylie-22),(Citation: Brubaker-Incontroller),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0846,Remote System Discovery,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for subsequent Lateral Movement or Discovery techniques. Functionality could exist within adversary tools to enabl",attack-pattern--d5a69cfb-fc2a-46cb-99eb-74b236db5061,https://attack.mitre.org/techniques/T0846,21 May 2020,13 October 2023,ics-attack,1.1,,None,"File: File Access, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Process: Process Creation","(Citation: Wylie-22),(Citation: Charles McLellan March 2016),(Citation: Julian Rrushi, Hassan Farhangi, Clay Howey, Kelly Carmichael, Joey Dabell December 2015),(Citation: CISA-AA22-103A),(Citation: Booz Allen Hamilton),(Citation: Anton Cherepanov, ESET J",Industrial Control Systems
T0847,Replication Through Removable Media,"Adversaries may move onto systems, such as those separated from the enterprise network, by copying malware to removable media which is inserted into the control systems environment. The adversary may rely on unknowing trusted third parties, such as suppli",attack-pattern--c267bbee-bb59-47fe-85e0-3ed210337c21,https://attack.mitre.org/techniques/T0847,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Drive: Drive Creation, File: File Access, File: File Creation, Process: Process Creation","(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Symantec June 2015),(Citation: Langer Stuxnet),(Citation: Catalin Cimpanu April 2016),,",Industrial Control Systems
T0848,Rogue Master,"Adversaries may setup a rogue master to leverage control server functions to communicate with outstations. A rogue master can be used to send legitimate control messages to other control system devices, affecting processes in unintended ways. It may also ",attack-pattern--b14395bd-5419-4ef4-9bd8-696936f509bb,https://attack.mitre.org/techniques/T0848,21 May 2020,13 October 2023,ics-attack,1.2,,None,"Application Log: Application Log Content, Asset: Asset Inventory, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Operational Databases: Device Alarm","(Citation: Marshall Abrams July 2008),(Citation: Keith Stouffer May 2015),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Dwight Anderson 2014),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0849,Masquerading,"Adversaries may use masquerading to disguise a malicious application or executable as another file, to avoid operator and engineer suspicion. Possible disguises of these masquerading files can include commonly found programs, expected vendor executables a",attack-pattern--ba203963-3182-41ac-af14-7e7ebc83cd61,https://attack.mitre.org/techniques/T0849,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Command: Command Execution, File: File Metadata, File: File Modification, Process: Process Metadata, Scheduled Job: Scheduled Job Creation, Scheduled Job: Scheduled Job Modification, Service: Service Creation, Service: Service Modification","(Citation: Dragos Crashoverride 2018),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: DHS CISA February 2019),(Citation: Dragos Threat Intelligence February 2020),(Citation: FireEye TRITON),(Citation: Tom Fakterman August ",Industrial Control Systems
T0851,Rootkit,"Adversaries may deploy rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting and modifying operating-system API calls",attack-pattern--3b6b9246-43f8-4c69-ad7a-2b11cfe0a0d9,https://attack.mitre.org/techniques/T0851,21 May 2020,13 October 2023,ics-attack,1.1,,None,Firmware: Firmware Modification,"(Citation: Langer Stuxnet),(Citation: IEC February 2019),",Industrial Control Systems
T0852,Screen Capture,"Adversaries may attempt to perform screen capture of devices in the control system environment. Screenshots may be taken of workstations, HMIs, or other devices that display environment-relevant process, device, reporting, alarm, or related data. These de",attack-pattern--c5e3cdbc-0387-4be9-8f83-ff5c0865f377,https://attack.mitre.org/techniques/T0852,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Command: Command Execution, Process: OS API Execution","(Citation: Junnosuke Yagi March 2017),(Citation: Dragos),(Citation: ICS-CERT October 2017),(Citation: Jacqueline O'Leary et al. September 2017),,",Industrial Control Systems
T0853,Scripting,"Adversaries may use scripting languages to execute arbitrary code in the form of a pre-written script or in the form of user-supplied code to an interpreter. Scripting languages are programming languages that differ from compiled languages, in that script",attack-pattern--2dc2b567-8821-49f9-9045-8740f3d0b958,https://attack.mitre.org/techniques/T0853,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Command: Command Execution, Module: Module Load, Process: Process Creation, Process: Process Metadata, Script: Script Execution","(Citation: Dragos Crashoverride 2018),(Citation: Dragos),(Citation: DHS CISA February 2019),(Citation: Robert Falcone, Bryan Lee May 2016),(Citation: Tom Fakterman August 2019),(Citation: Symantec March 2019),,",Industrial Control Systems
T0855,Unauthorized Command Message,"Adversaries may send unauthorized command messages to instruct control system assets to perform actions outside of their intended functionality, or without the logical preconditions to trigger their expected function. Command messages are used in ICS netw",attack-pattern--40b300ba-f553-48bf-862e-9471b220d455,https://attack.mitre.org/techniques/T0855,21 May 2020,13 October 2023,ics-attack,1.2,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Operational Databases: Process/Event Alarm","(Citation: Industroyer2 Forescout July 2022),(Citation: Ukraine15 - EISAC - 201603),(Citation: Marshall Abrams July 2008),(Citation: CISA-AA22-103A),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Industroyer2 Mandiant April 2022),(Citation: Keith",Industrial Control Systems
