ATT&CK Mitigation ID,ATT&CK Mitigation Name,ATT&CK Mitigation Description,STIX ID,URL,Created,Last Modified,Domain,Version,Type
M0932,Multi-factor Authentication,"Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.  Within industrial control environments assets such as low-level controllers, workstations,",course-of-action--ddf3e568-f065-49e2-9106-42029a28ddbd,https://attack.mitre.org/mitigations/M0932,10 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0934,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",course-of-action--9e3adcad-0b8f-4ecc-a2f3-06f607f53bf0,https://attack.mitre.org/mitigations/M0934,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0935,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",course-of-action--49b306c1-a046-42c5-a4d2-30f264ada110,https://attack.mitre.org/mitigations/M0935,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0936,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",course-of-action--86b455f2-fb63-4043-93a8-32a3a7703a02,https://attack.mitre.org/mitigations/M0936,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0937,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.   Perform inline allow/denylisting of network messages based on the application layer (OSI Layer 7),course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,https://attack.mitre.org/mitigations/M0937,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0938,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,https://attack.mitre.org/mitigations/M0938,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0941,Encrypt Sensitive Information,Protect sensitive data-at-rest with strong encryption.,course-of-action--9f99fcfd-772e-4e63-9d39-e45612e546dc,https://attack.mitre.org/mitigations/M0941,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0942,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,course-of-action--d0909119-2f71-4923-87db-b649881672d7,https://attack.mitre.org/mitigations/M0942,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0944,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,https://attack.mitre.org/mitigations/M0944,11 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0945,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,https://attack.mitre.org/mitigations/M0945,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0946,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,https://attack.mitre.org/mitigations/M0946,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0947,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and config",course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,https://attack.mitre.org/mitigations/M0947,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0948,Application Isolation and Sandboxing,Restrict the execution of code to a virtual environment on or in-transit to an endpoint system.,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,https://attack.mitre.org/mitigations/M0948,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0949,Antivirus/Antimalware,"Use signatures or heuristics to detect malicious software.  Within industrial control environments, antivirus/antimalware installations should be limited to assets that are not involved in critical or real-time operations. To minimize the impact to system",course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,https://attack.mitre.org/mitigations/M0949,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0950,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,course-of-action--49363b74-d506-4342-bd63-320586ebadb9,https://attack.mitre.org/mitigations/M0950,11 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0951,Update Software,Perform regular software updates to mitigate exploitation risk. Software updates may need to be scheduled around operational down times.,course-of-action--97f33c84-8508-45b9-8a1d-cac921828c9e,https://attack.mitre.org/mitigations/M0951,11 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0953,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.   Maintain and exercise incident response plans  (Citation: Departme,course-of-action--ad12819e-3211-4291-b360-069f280cff0a,https://attack.mitre.org/mitigations/M0953,19 July 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0954,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated with how the software operates.,course-of-action--facb8840-ebe7-49f1-b464-8ef6c8131e21,https://attack.mitre.org/mitigations/M0954,19 July 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M1001,Security Updates,Install security updates in response to discovered vulnerabilities.  Purchase devices with a vendor and/or mobile carrier commitment to provide security updates in a prompt manner for a set period of time.  Decommission devices that will no longer receive,course-of-action--bcecd036-f40e-4916-9f8e-fd0ccf0ece8d,https://attack.mitre.org/mitigations/M1001,18 October 2019,18 October 2019,mobile-attack,1.0,Mobile
M1002,Attestation,Enable remote attestation capabilities when available (such as Android SafetyNet or Samsung Knox TIMA Attestation) and prohibit devices that fail the attestation from accessing enterprise resources.,course-of-action--ff4821f6-5afb-481b-8c0f-26c28c0d666c,https://attack.mitre.org/mitigations/M1002,18 October 2019,18 October 2019,mobile-attack,1.0,Mobile
M1003,Lock Bootloader,"On devices that provide the capability to unlock the bootloader (hence allowing any operating system code to be flashed onto the device), perform periodic checks to ensure that the bootloader is locked.",course-of-action--8ccd428d-39da-4e8f-a55b-d48ea1d56e58,https://attack.mitre.org/mitigations/M1003,25 October 2017,17 October 2018,mobile-attack,1.0,Mobile
M1004,System Partition Integrity,"Ensure that Android devices being used include and enable the Verified Boot capability, which cryptographically ensures the integrity of the system partition.",course-of-action--7b1cf46f-784b-405a-a8dd-4624c19d8321,https://attack.mitre.org/mitigations/M1004,25 October 2017,17 October 2018,mobile-attack,1.0,Mobile
M1006,Use Recent OS Version,New mobile operating system versions bring not only patches against discovered vulnerabilities but also often bring security architecture improvements that provide resilience against potential vulnerabilities or weaknesses that have not yet been discovere,course-of-action--0beabf44-e8d8-4ae4-9122-ef56369a2564,https://attack.mitre.org/mitigations/M1006,25 October 2017,17 October 2018,mobile-attack,1.0,Mobile
M1009,Encrypt Network Traffic,"Application developers should encrypt all of their application network traffic using the Transport Layer Security (TLS) protocol to ensure protection of sensitive data and deter network-based attacks. If desired, application developers could perform messa",course-of-action--8220b57e-c400-4525-bf69-f8edc6b389a8,https://attack.mitre.org/mitigations/M1009,25 October 2017,17 October 2018,mobile-attack,1.0,Mobile
M1010,Deploy Compromised Device Detection Method,"A variety of methods exist that can be used to enable enterprises to identify compromised (e.g. rooted/jailbroken) devices, whether using security mechanisms built directly into the device, third-party mobile security applications, enterprise mobility man",course-of-action--cf2cccb1-cab8-431a-8ecf-f7874d05f433,https://attack.mitre.org/mitigations/M1010,25 October 2017,17 October 2018,mobile-attack,1.0,Mobile
M1011,User Guidance,Describes any guidance or training given to users to set particular configuration settings or avoid specific potentially risky behaviors.,course-of-action--653492e3-27be-4a0e-b08c-938dd2b7e0e1,https://attack.mitre.org/mitigations/M1011,18 October 2019,18 October 2019,mobile-attack,1.0,Mobile
M1012,Enterprise Policy,"An enterprise mobility management (EMM), also known as mobile device management (MDM), system can be used to provision policies to mobile devices to control aspects of their allowed behavior.",course-of-action--649f7268-4c12-483b-ac84-4b7bca9fe2ee,https://attack.mitre.org/mitigations/M1012,25 October 2017,24 June 2020,mobile-attack,1.0,Mobile
M1013,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,https://attack.mitre.org/mitigations/M1013,25 October 2017,27 September 2023,"enterprise-attack,mobile-attack",1.1,Enterprise
M1014,Interconnection Filtering,"In order to mitigate Signaling System 7 (SS7) exploitation, the Communications, Security, Reliability, and Interoperability Council (CSRIC) describes filtering interconnections between network operators to block inappropriate requests (Citation: CSRIC5-WG",course-of-action--e829ee51-1caf-4665-ba15-7f8979634124,https://attack.mitre.org/mitigations/M1014,25 October 2017,15 August 2023,mobile-attack,1.0,Mobile
M1015,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,enterprise-attack,1.1,Enterprise
M1016,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,enterprise-attack,1.1,Enterprise
M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,enterprise-attack,1.2,Enterprise
M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,enterprise-attack,1.1,Enterprise
M1019,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,enterprise-attack,1.0,Enterprise
M1020,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,enterprise-attack,1.0,Enterprise
M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,enterprise-attack,1.0,Enterprise
M1022,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,enterprise-attack,1.1,Enterprise
M1024,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,https://attack.mitre.org/mitigations/M1024,06 June 2019,31 March 2023,enterprise-attack,1.1,Enterprise
M1025,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,enterprise-attack,1.1,Enterprise
M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,enterprise-attack,1.1,Enterprise
M1027,Password Policies,Set and enforce secure password policies for accounts.,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,https://attack.mitre.org/mitigations/M1027,06 June 2019,21 October 2022,enterprise-attack,1.0,Enterprise
M1028,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,https://attack.mitre.org/mitigations/M1028,06 June 2019,31 March 2023,enterprise-attack,1.2,Enterprise
M1029,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,enterprise-attack,1.0,Enterprise
M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should",course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,enterprise-attack,1.1,Enterprise
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,enterprise-attack,1.0,Enterprise
M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,https://attack.mitre.org/mitigations/M1032,10 June 2019,21 October 2022,enterprise-attack,1.0,Enterprise
M1033,Limit Software Installation,Block users or groups from installing unapproved software.,course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,enterprise-attack,1.0,Enterprise
M1034,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,enterprise-attack,1.0,Enterprise
M1035,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,enterprise-attack,1.0,Enterprise
M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,enterprise-attack,1.0,Enterprise
M1037,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,enterprise-attack,1.1,Enterprise
M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,https://attack.mitre.org/mitigations/M1038,11 June 2019,28 February 2022,enterprise-attack,1.2,Enterprise
M1039,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,enterprise-attack,1.0,Enterprise
M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,enterprise-attack,1.0,Enterprise
M1041,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,enterprise-attack,1.0,Enterprise
M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,enterprise-attack,1.1,Enterprise
M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,https://attack.mitre.org/mitigations/M1043,11 June 2019,21 October 2022,enterprise-attack,1.1,Enterprise
M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,enterprise-attack,1.0,Enterprise
