Security Control ID,Examine,Interview,Test
AC-02-09,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of shared/group accounts and associated roles; system audit recor,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing management of shared/group accounts].
AC-02-11,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of system accounts and associated assignments of usage circumstan,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing account management functions].
AC-02-12,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system monitoring records; system audit records; audit tracking and monitoring reports;,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing account management functions].
AC-02-13,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of disabled accounts; list of user activities posing significant ,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing account management functions].
AC-03-00,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of approved authorizations (user privileges); system audit records; system securit,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy].
AC-03-02,[SELECT FROM: Access control policy; procedures addressing access enforcement and dual authorization; system design documentation; system configuration settings and associated documentation; list of privileged commands requiring dual authorization; list o,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Dual authorization mechanisms implementing access control policy].
AC-03-03,"[SELECT FROM: Access control policy; mandatory access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resour",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing mandatory access control].
AC-03-04,"[SELECT FROM: Access control policy; discretionary access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and re",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing discretionary access control policy].
AC-03-05,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms preventing access to security-relevant information within the system].
AC-03-07,"[SELECT FROM: Access control policy; role-based access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of roles, users, and associated privileges req",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing role-based access control policy].
AC-03-08,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; rules governing revocation of access authorizations, system audit records; system secur",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-09,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy safeguards provided by receiving system or system componen,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; organizational personnel with responsibility for acquisitions/,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-10,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; conditions for employing audited override of automated access control mechanisms; syste,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-11,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; organizational personnel with responsibilities for data repositories; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-12,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-13,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of attri",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access enforcement functions].
AC-03-14,"[SELECT FROM: Access mechanisms (e.g., request forms and application interfaces); access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; documentation regar",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; legal counsel].,[SELECT FROM: Mechanisms implementing access enforcement functions; mechanisms enabling individual access to personally identifiable information].
AC-03-15,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of manda",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing mandatory and discretionary access control policy].
AC-04-00,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; security architecture documentation; privacy architecture documentation; system design documentation; system configuration settings,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy architecture development responsibilities; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-01,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy attributes an,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-02,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system security architecture and associated documentation; system configuration settings and associate,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-03,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system security architecture and associated documentation; system configuration settings and associate,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-04,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-05,[SELECT FROM: Access control policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of limitations to be enforced on embedding data types within other data ,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-06,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; types of metadata used to enforce informat,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-07,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system hardware mechanisms and associated ,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Hardware mechanisms implementing information flow enforcement policy].
AC-04-08,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters regulating,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
AC-04-09,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; records of human reviews regarding informa,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; organizational personnel with information flow enforcement responsibilities; system developers].,[SELECT FROM: Mechanisms enforcing the use of human reviews].
AC-04-10,[SELECT FROM: Access control policy; information flow information policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters enable,[SELECT FROM: Organizational personnel with responsibilities for enabling/disabling security and privacy policy filters; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
AC-04-11,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filters; list of p,[SELECT FROM: Organizational personnel with responsibilities for configuring security and privacy policy filters; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
AC-04-12,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of data type identifiers; system audi,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-13,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-14,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security and privacy policy filter,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy; security and privacy policy filters].
AC-04-15,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of unsanctioned information types and,[SELECT FROM: Organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-17,[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; procedures addressing source and destination domain identification and authentication; system design documentation; system configur,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
AC-04-19,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of security policy filt,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; organizational personnel with privacy responsibilities; system d,[SELECT FROM: Mechanisms implementing information flow enforcement functions; security and policy filters].
AC-04-20,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of solutions in approve,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-21,[SELECT FROM: Information flow enforcement policy; information flow control policies; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; list of required separation ,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-22,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-23,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-24,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-25,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-26,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering; mechanisms recording and auditing content filtering].
AC-04-27,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-28,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing linear content filters].
AC-04-29,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filter orchestration engines].
AC-04-30,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering].
AC-04-31,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions].
AC-04-32,[SELECT FROM: Information flow enforcement policy; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant docu,[SELECT FROM: Organizational personnel with information flow enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing information flow enforcement functions; mechanisms implementing content filtering].
AC-05-00,[SELECT FROM: Access control policy; procedures addressing divisions of responsibility and separation of duties; system configuration settings and associated documentation; list of divisions of responsibility and separation of duties; system access author,[SELECT FROM: Organizational personnel with responsibilities for defining appropriate divisions of responsibility and separation of duties; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing separation of duties policy].
AC-06-00,[SELECT FROM: Access control policy; procedures addressing least privilege; list of assigned access authorizations (user privileges); system configuration settings and associated documentation; system audit records; system security plan; other relevant do,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-01,"[SELECT FROM: Access control policy; procedures addressing least privilege; list of security functions (deployed in hardware, software, and firmware) and security-relevant information for which access must be explicitly authorized; system configuration se",[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-02,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated security functions or security-relevant information assigned to system accounts or roles; system configuration settings and associated documentation; syst,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-03,[SELECT FROM: Access control policy; procedures addressing least privilege; system configuration settings and associated documentation; system audit records; list of operational needs for authorizing network access to privileged commands; system security ,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-04,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-05,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated privileged accounts; list of system administration personnel; system configuration settings and associated documentation; system audit records; system sec,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
AC-06-06,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated privileged accounts; list of non-organizational users; system configuration settings and associated documentation; audit records; system security plan; ot,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms prohibiting privileged access to the system].
AC-06-07,[SELECT FROM: Access control policy; procedures addressing least privilege; list of system-generated roles or classes of users and assigned privileges; system design documentation; system configuration settings and associated documentation; validation rev,[SELECT FROM: Organizational personnel with responsibilities for reviewing least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators].,[SELECT FROM: Mechanisms implementing review of user privileges].
AC-06-08,[SELECT FROM: Access control policy; procedures addressing least privilege; list of software that should not execute at higher privilege levels than users executing software; system design documentation; system configuration settings and associated docume,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions for software execution].
AC-06-09,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; list of privileged functions to be audited; list of audited events; system audit records; ,[SELECT FROM: Organizational personnel with responsibilities for reviewing least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system/network administrators; system developers].,[SELECT FROM: Mechanisms auditing the execution of least privilege functions].
AC-06-10,[SELECT FROM: Access control policy; procedures addressing least privilege; system design documentation; system configuration settings and associated documentation; list of privileged functions and associated user account assignments; system audit records,[SELECT FROM: Organizational personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions for non-privileged users].
AC-07-00,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or record,[SELECT FROM: Organizational personnel with information security responsibilities; system developers; system/network administrators].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
AC-07-02,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts on mobile devices; system design documentation; system configuration settings and associated documentation; list of mobile devices to be purged/wiped after organization,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful device logon attempts].
AC-07-03,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts on biometric devices; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevan,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
AC-07-04,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts for primary and alternate authentication factors; system design documentation; system configuration settings and associated documentation; system audit records; system ,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
AC-08-00,"[SELECT FROM: Access control policy; privacy and security policies, procedures addressing system use notification; documented approval of system use notification messages or banners; system audit records; user acknowledgements of notification message or b",[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; legal counsel; system developers].,[SELECT FROM: Mechanisms implementing system use notification].
AC-09-00,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system notification messages; system security plan; other relevant documents o,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
AC-09-01,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or record,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
AC-09-02,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or record,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
AC-09-03,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or record,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
AC-09-04,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or record,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
AC-10-00,[SELECT FROM: Access control policy; procedures addressing concurrent session control; system design documentation; system configuration settings and associated documentation; security plan; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for concurrent session control].
AC-11-00,[SELECT FROM: Access control policy; procedures addressing session lock; procedures addressing identification and authentication; system design documentation; system configuration settings and associated documentation; security plan; system security plan;,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for session lock].
AC-11-01,[SELECT FROM: Access control policy; procedures addressing session lock; display screen with session lock activated; system design documentation; system configuration settings and associated documentation; system security plan; other relevant documents or,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: System session lock mechanisms].
AC-12-00,[SELECT FROM: Access control policy; procedures addressing session termination; system design documentation; system configuration settings and associated documentation; list of conditions or trigger events requiring session disconnect; system audit record,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing user session termination].
