CCI ID,Description,NIST Revision,Type
CCI-000041,Authorize network access to organization-defined privileged commands only for organization-defined compelling operational needs.,NIST SP 800-53 Revision 5,Policy
CCI-000042,Document the rationale for authorized network access to organization-defined privileged commands in the security plan for the system.,NIST SP 800-53 Revision 5,Policy
CCI-000043,Defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.,NIST SP 800-53 Revision 5,Policy
CCI-000044,Enforce the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.,NIST SP 800-53 Revision 5,Technical
CCI-000048,"Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidelines.",NIST SP 800-53 Revision 5,Technical
CCI-000050,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system.,NIST SP 800-53 Revision 5,Technical
CCI-000052,"Notify the user, upon successful logon (access) to the system, of the date and time of the last logon (access).",NIST SP 800-53 Revision 5,Technical
CCI-000053,"Notify the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access.",NIST SP 800-53 Revision 5,Technical
CCI-000054,Limit the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number.,NIST SP 800-53 Revision 5,Technical
CCI-000055,Defines the maximum number of concurrent sessions to be allowed for each organization-defined account and/or account type.,NIST SP 800-53 Revision 5,Policy
CCI-000056,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,NIST SP 800-53 Revision 5,Technical
CCI-000057,The information system initiates a session lock after the organization-defined time period of inactivity.,NIST SP 800-53 Revision 5,Technical
CCI-000059,Defines the time-period of inactivity after which the system initiates a device lock.,NIST SP 800-53 Revision 5,Policy
CCI-000060,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",NIST SP 800-53 Revision 5,Technical
CCI-000061,Identify organization-defined user actions that can be performed on the system without identification or authentication consistent with organizational missions/business functions.,NIST SP 800-53 Revision 5,Policy
CCI-000065,Authorize remote access to the system prior to allowing such connections.,NIST SP 800-53 Revision 5,Policy
CCI-000067,Employ automated mechanisms to monitor remote access methods.,NIST SP 800-53 Revision 5,Technical
CCI-000068,Implement cryptographic mechanisms to protect the confidentiality of remote access sessions.,NIST SP 800-53 Revision 5,Technical
CCI-000069,Route all remote accesses through authorized and managed network access control points.,NIST SP 800-53 Revision 5,Policy
CCI-000070,Authorize the execution of privileged commands via remote access only in a format that provides assessable evidence for organization-defined needs.,NIST SP 800-53 Revision 5,Policy
CCI-000072,Protect information about remote access mechanisms from unauthorized use and disclosure.,NIST SP 800-53 Revision 5,Policy
CCI-000073,Develop an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and common controls in place or planned for meeting those requirements.,NIST SP 800-53 Revision 5,Policy
CCI-000074,"Develop an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation), organizational assets, individuals, other organizations, and the Nation.",NIST SP 800-53 Revision 5,Policy
CCI-000075,Review and update the organization-wide information security program plan on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000076,Defines the frequency with which to review and update the organization-wide information security program plan.,NIST SP 800-53 Revision 5,Policy
CCI-000078,"Appoint a Senior Information Security Officer with the mission and resources to coordinate, develop, implement, and maintain an organization-wide information security program.",NIST SP 800-53 Revision 5,Policy
CCI-000080,Include the resources needed to implement the information security programs in capital planning and investment requests and document all exceptions to this requirement.,NIST SP 800-53 Revision 5,Policy
CCI-000083,"Establish implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas.",NIST SP 800-53 Revision 5,Policy
CCI-000084,Authorize connection of mobile devices to organizational systems.,NIST SP 800-53 Revision 5,Policy
CCI-000093,"Establish organization-defined terms and conditions, and/or identify organization-defined controls asserted to be implemented on external systems, consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to access the system from the external systems.",NIST SP 800-53 Revision 5,Policy
CCI-000097,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using organization-defined restrictions.,NIST SP 800-53 Revision 5,Policy
CCI-000098,Enable authorized users to determine whether access authorizations assigned to the sharing partner match the information's access and use restrictions for organization-defined information sharing circumstances where user discretion is required.,NIST SP 800-53 Revision 5,Policy
CCI-000099,Employ organization-defined automated mechanisms to enforce information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,NIST SP 800-53 Revision 5,"Technical,Policy"
CCI-000100,"Develop and document an organization level, mission/business process-level, or system-level awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-000101,"Disseminate an organization level, mission/business process-level, or system-level awareness and training policy to organization-defined personnel or roles.",NIST SP 800-53 Revision 5,Policy
CCI-000102,Review and update the current security awareness and training policy in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000103,Develop and document procedures to facilitate the implementation of the awareness and training policy and associated awareness and training controls.,NIST SP 800-53 Revision 5,Policy
CCI-000104,Disseminate organization-level; mission/business process-level; or system-level awareness and training procedures to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-000105,Review and update the current security awareness and training procedures in accordance with an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000106,"Provide basic security literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users.",NIST SP 800-53 Revision 5,Policy
CCI-000107,Provide practical exercises in literacy training that simulate events and incidents.,NIST SP 800-53 Revision 5,Policy
CCI-000108,"Provide role-based security training to personnel with organization-defined roles and responsibilities before authorizing access to the system, information, or performing assigned duties.",NIST SP 800-53 Revision 5,Policy
CCI-000109,Provide role-based security training to personnel with organization-defined roles and responsibilities when required by system changes.,NIST SP 800-53 Revision 5,Policy
CCI-000112,"Provide basic security awareness training to system users (including managers, senior executives, and contractors) when required by system changes or following organization-defined events.",NIST SP 800-53 Revision 5,Policy
CCI-000113,"Document individual security training activities, including security awareness training and specific system security training.",NIST SP 800-53 Revision 5,Policy
CCI-000114,"Monitor individual information security training activities, including security awareness training and specific security training.",NIST SP 800-53 Revision 5,Policy
CCI-000117,"Develop and document an organization-level; mission/business process-level; and/or system-level audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-000119,Review and update the current audit and accountability policy on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000120,Develop and document procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls.,NIST SP 800-53 Revision 5,Policy
CCI-000122,Review and update the current audit and accountability procedures on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000123,Identify the organization-defined event types that the system is capable of logging in support of the audit function.,NIST SP 800-53 Revision 5,Policy
CCI-000124,Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged.,NIST SP 800-53 Revision 5,Policy
CCI-000125,Provide a rationale for why the event types selected for logging are deemed to be adequate for support after-the-fact investigations of incidents.,NIST SP 800-53 Revision 5,Policy
CCI-000126,Specify the organization-defined event types (subset of the event types defined in AU-2a) along with the frequency of (or situation requiring logging for each identified event type.,NIST SP 800-53 Revision 5,Policy
CCI-000130,Ensure that audit records containing information that establishes what type of event occurred.,NIST SP 800-53 Revision 5,Technical
CCI-000131,Ensure that audit records containing information that establishes when the event occurred.,NIST SP 800-53 Revision 5,Technical
CCI-000132,Ensure that audit records containing information that establishes where the event occurred.,NIST SP 800-53 Revision 5,Technical
CCI-000133,Ensure that audit records containing information that establishes the source of the event.,NIST SP 800-53 Revision 5,Technical
CCI-000134,Ensure that audit records containing information that establishes the outcome of the event.,NIST SP 800-53 Revision 5,Technical
CCI-000135,Generate audit records containing the organization-defined additional information that is to be included in the audit records.,NIST SP 800-53 Revision 5,Technical
CCI-000139,Alert organization-defined personnel or roles within an organization-defined time period in the event of an audit logging process failure.,NIST SP 800-53 Revision 5,Technical
CCI-000140,"Take organization-defined actions upon audit failure include, shutting down the system, overwriting oldest audit records, and stopping the generation of audit records.",NIST SP 800-53 Revision 5,Technical
CCI-000141,"Make available for expenditure, the planned information security resources.",NIST SP 800-53 Revision 5,Policy
CCI-000142,Implement a process to ensure that plans of action and milestones for the information security program and the associated organizational systems are maintained.,NIST SP 800-53 Revision 5,Policy
CCI-000145,Enforce configurable network communications traffic volume thresholds reflecting limits on audit log storage capacity by delaying or rejecting network traffic above those organization-defined thresholds.,NIST SP 800-53 Revision 5,Policy
CCI-000147,Defines the audit logging failure events requiring real-time alerts.,NIST SP 800-53 Revision 5,Policy
CCI-000148,Review and analyze system audit records on an organization-defined frequency for indications of organization-defined inappropriate or unusual activity.,NIST SP 800-53 Revision 5,Policy
CCI-000149,Report any findings to organization-defined personnel or roles for indications of organization-defined inappropriate or unusual activity.,NIST SP 800-53 Revision 5,Policy
CCI-000151,Defines the frequency for the review and analysis of system audit records for organization-defined inappropriate or unusual activity.,NIST SP 800-53 Revision 5,Policy
CCI-000153,Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.,NIST SP 800-53 Revision 5,Policy
CCI-000154,Provide the capability to centrally review and analyze audit records from multiple components within the system.,NIST SP 800-53 Revision 5,Technical
CCI-000158,"Provide the capability to process, sort, and search audit records for events of interest based on organization-defined audit fields within audit records.",NIST SP 800-53 Revision 5,Technical
CCI-000159,Use internal system clocks to generate time stamps for audit records.,NIST SP 800-53 Revision 5,Technical
CCI-000162,Protect audit information from unauthorized access.,NIST SP 800-53 Revision 5,Technical
CCI-000163,Protect audit information from unauthorized modification.,NIST SP 800-53 Revision 5,Technical
CCI-000164,Protect audit information from unauthorized deletion.,NIST SP 800-53 Revision 5,Technical
CCI-000165,"Write audit records to hardware-enforced, write-once media.",NIST SP 800-53 Revision 5,Policy
CCI-000166,Provide irrefutable evidence that an individual (or process acting on behalf of an individual) falsely denying having performed organization-defined actions to be covered by non-repudiation.,NIST SP 800-53 Revision 5,Technical
CCI-000167,Retain audit records for an organization-defined time period to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,NIST SP 800-53 Revision 5,Policy
CCI-000168,"Defines the time period for retention of audit records, which is consistent with its records retention policy, to provide support for after-the-fact investigations of incidents and meet regulatory and organizational information retention requirements.",NIST SP 800-53 Revision 5,Policy
CCI-000169,Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2 a. on organization-defined information system components.,NIST SP 800-53 Revision 5,Technical
CCI-000170,"Implement a process to ensure that plans of action and milestones for the security program and associated organizational systems document the remedial information security actions to adequately respond to risk to organizational operations and assets, individuals, other organizations, and the Nation.",NIST SP 800-53 Revision 5,Policy
CCI-000171,Allow organization-defined personnel or roles to select the event types that are to be logged by specific components of the system.,NIST SP 800-53 Revision 5,Technical
CCI-000172,Generate audit records for the event types defined in AU-2 c that include the audit record content defined in AU-3.,NIST SP 800-53 Revision 5,Technical
CCI-000173,Defines the level of tolerance for relationship between time stamps of individual records in the audit trail that will be used for correlation.,NIST SP 800-53 Revision 5,Policy
CCI-000174,Compile audit records from organization-defined information system components into a system-wide (logical or physical) audit trail that is time-correlated to within an organization-defined level of tolerance for relationship between time stamps of individual records in the audit trail.,NIST SP 800-53 Revision 5,Technical
CCI-000176,Manage system authenticators by establishing initial authenticator content for authenticators issued by the organization.,NIST SP 800-53 Revision 5,Policy
CCI-000182,Manage system authenticators by changing or refreshing authenticators in accordance with the organization-defined time period by authenticator type or when organization-defined events occur.,NIST SP 800-53 Revision 5,Policy
CCI-000183,Manage system authenticators by protecting authenticator content from unauthorized disclosure.,NIST SP 800-53 Revision 5,Policy
CCI-000184,"Manages system authenticators by requiring individuals to take, and having devices implement, specific security controls to protect authenticators.",NIST SP 800-53 Revision 5,Policy
CCI-000185,"For public key-based authentication, validate certificates by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information.",NIST SP 800-53 Revision 5,Technical
CCI-000186,"For public key-based authentication, enforce authorized access to the corresponding private key.",NIST SP 800-53 Revision 5,Technical
CCI-000187,"For public key-based authentication, map the authenticated identity to the account of the individual or group.",NIST SP 800-53 Revision 5,Technical
CCI-000197,"For password-based authentication, transmit passwords only cryptographically-protected channels.",NIST SP 800-53 Revision 5,Technical
CCI-000201,Protect authenticators commensurate with the security category of the information to which use of the authenticator permits access.,NIST SP 800-53 Revision 5,Policy
CCI-000204,Defines the security controls required to manage the risk of compromise due to individuals having accounts on multiple information systems.,NIST SP 800-53 Revision 5,Policy
CCI-000206,Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals.,NIST SP 800-53 Revision 5,Technical
CCI-000209,Develop the results of information security measures of performance.,NIST SP 800-53 Revision 5,Policy
CCI-000210,Monitor the results of information security measures of performance.,NIST SP 800-53 Revision 5,Policy
CCI-000211,Report on the results of information security measures of performance.,NIST SP 800-53 Revision 5,Policy
CCI-000212,"Develop an enterprise architecture with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation.",NIST SP 800-53 Revision 5,Policy
CCI-000213,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,NIST SP 800-53 Revision 5,Technical
CCI-000216,Address information security issues in the development and documentation of a critical infrastructure and key resources protection plan.,NIST SP 800-53 Revision 5,Policy
CCI-000217,Defines a time period after which inactive accounts are automatically disabled.,NIST SP 800-53 Revision 5,Policy
CCI-000219,"When transferring information between different security domains, decompose information into organization-defined policy-relevant subcomponents for submission to policy enforcement mechanisms.",NIST SP 800-53 Revision 5,Technical
CCI-000225,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) which are necessary to accomplish assigned organizational tasks.",NIST SP 800-53 Revision 5,Policy
CCI-000227,"Develop a comprehensive strategy to manage security risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",NIST SP 800-53 Revision 5,Policy
CCI-000228,Implement the risk management strategy consistently across the organization.,NIST SP 800-53 Revision 5,Policy
CCI-000232,"Document and provide supporting rationale in the security plan for the system, user actions not requiring identification and authentication.",NIST SP 800-53 Revision 5,Policy
CCI-000233,Designate individuals to fulfill specific roles and responsibilities within the organizational risk management process.,NIST SP 800-53 Revision 5,Policy
CCI-000234,Integrate the authorization processes into an organization-wide risk management program.,NIST SP 800-53 Revision 5,Policy
CCI-000235,"Define organizational mission and business processes with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation.",NIST SP 800-53 Revision 5,Policy
CCI-000236,Determine information protection needs arising from the defined mission and business processes.,NIST SP 800-53 Revision 5,Policy
CCI-000238,"Defines the frequency to review and update the current assessment, authorization, and monitoring policy.",NIST SP 800-53 Revision 5,Policy
CCI-000239,"Develop and document an organization-level; mission/business process; system-level assessment, authorization, and monitoring policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-000240,"Disseminates to organization-defined personnel or roles an organization-level; mission/business process; system-level assessment, authorization, and monitoring policy.",NIST SP 800-53 Revision 5,Policy
CCI-000241,"Review and update the current assessment, authorization, and monitoring policy on an organization-defined frequency.",NIST SP 800-53 Revision 5,Policy
CCI-000242,"Develop and document procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and associated assessment, authorization, and monitoring controls.",NIST SP 800-53 Revision 5,Policy
CCI-000243,"Disseminate to organization-defined personnel or roles procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and associated assessment, authorization, and monitoring controls.",NIST SP 800-53 Revision 5,Policy
CCI-000244,"Review and update the current assessment, authorization, and monitoring procedures on an organization-defined frequency.",NIST SP 800-53 Revision 5,Policy
CCI-000246,Develop a control assessment plan that describes the scope of the assessment including controls and control enhancements under assessment.,NIST SP 800-53 Revision 5,Policy
CCI-000247,Develop a control assessment plan that describes the scope of the assessment including assessment procedures to be used to determine control effectiveness.,NIST SP 800-53 Revision 5,Policy
CCI-000248,Develop a control assessment plan that describes the scope of the assessment including assessment environment.,NIST SP 800-53 Revision 5,Policy
CCI-000251,"Assess the controls in the systems and its environment of operation on an organization-defined frequency, to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements.",NIST SP 800-53 Revision 5,Policy
CCI-000252,Defines the frequency on which the security controls in the system and its environment of operation are assessed.,NIST SP 800-53 Revision 5,Policy
CCI-000253,Produce a control assessment report that document the results of the assessment.,NIST SP 800-53 Revision 5,Policy
CCI-000254,Provide the results of the control assessment to organization-defined individuals or roles.,NIST SP 800-53 Revision 5,Policy
CCI-000255,Employ independent assessors or assessment teams to conduct control assessments.,NIST SP 800-53 Revision 5,Policy
CCI-000256,"Include as part of the control assessments, announced or unannounced, on an organization-defined frequency, in-depth monitoring; security instrumentation; automated security test cases; vulnerability scanning; malicious user testing; insider threat assessment; performance and load testing; data leakage or data loss assessment; and/or organization-defined other forms of assessment.",NIST SP 800-53 Revision 5,Policy
CCI-000258,"Document, as part of each exchange agreement, the interface characteristics.",NIST SP 800-53 Revision 5,Policy
CCI-000259,"Document, as part of each exchange agreement,, the security requirements, controls and responsibilities for each system, and the impact level of the information communicated.",NIST SP 800-53 Revision 5,Policy
CCI-000264,Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system.,NIST SP 800-53 Revision 5,Policy
CCI-000265,Defines the frequency with which to update the existing plan of action and milestones for the system.,NIST SP 800-53 Revision 5,Policy
CCI-000266,"Update, on an organization-defined frequency, the existing plan of action and milestones based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities.",NIST SP 800-53 Revision 5,Policy
CCI-000267,Ensure the accuracy of the plan of action and milestones for the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000268,Ensure the currency of the plan of action and milestones for the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000269,Ensure the availability of the plan of action and milestones for the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000270,Assign a senior official as the authorizing official for the system.,NIST SP 800-53 Revision 5,Policy
CCI-000271,Ensure the authorizing official for the system authorizes the system to operate before commencing operations.,NIST SP 800-53 Revision 5,Policy
CCI-000272,Update the authorization on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000273,Defines the frequency with which to update the authorizations.,NIST SP 800-53 Revision 5,Policy
CCI-000274,Develop a continuous monitoring strategy.,NIST SP 800-53 Revision 5,Policy
CCI-000279,Implement ongoing control assessments in accordance with the continuous monitoring strategy.,NIST SP 800-53 Revision 5,Policy
CCI-000280,Implement a continuous monitoring program that includes reporting the security status to organization-defined personnel or roles on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000281,Defines the frequency with which to report the security status to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-000282,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.,NIST SP 800-53 Revision 5,Policy
CCI-000286,Defines the frequency with which to review and update the configuration management policies.,NIST SP 800-53 Revision 5,Policy
CCI-000287,"Develop and document an organization-level; mission/business process-level; and/or system-level configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-000289,"Review and update, on an organization-defined frequency, the configuration management policy.",NIST SP 800-53 Revision 5,Policy
CCI-000290,Develop and document procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level configuration management policy and the associated configuration management controls.,NIST SP 800-53 Revision 5,Policy
CCI-000292,"Review and update, on an organization-defined frequency, the procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level configuration management policy and associated configuration management controls.",NIST SP 800-53 Revision 5,Policy
CCI-000295,"Maintain, under configuration control, a current baseline configuration of the system.",NIST SP 800-53 Revision 5,Policy
CCI-000296,Review and update the baseline configuration of the system on an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000297,Review and update the baseline configuration of the system when required due to organization-defined circumstances.,NIST SP 800-53 Revision 5,Policy
CCI-000300,Maintain complete configuration of the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000301,Maintain current configuration of the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000302,Maintain accurate configuration of the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000303,Maintain available configuration of the system using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000304,Retain organization-defined number of previous versions of baseline configurations of the system to support rollback.,NIST SP 800-53 Revision 5,Policy
CCI-000311,Maintain a baseline configuration for system development environments that is managed separately from the operational baseline configuration.,NIST SP 800-53 Revision 5,Policy
CCI-000312,Maintain a baseline configuration for system test environments that is managed separately from the operational baseline configuration.,NIST SP 800-53 Revision 5,Policy
CCI-000313,Determine and document the types of changes to the system that are configuration-controlled.,NIST SP 800-53 Revision 5,Policy
CCI-000314,"Approve or disapprove configuration-controlled changes to the system, with explicit consideration for security impact analyses.",NIST SP 800-53 Revision 5,Policy
CCI-000316,Retain records of configuration-controlled changes to the system for an organization-defined time period.,NIST SP 800-53 Revision 5,Policy
CCI-000318,Monitor and review activities associated with configuration-controlled changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000319,"Coordinate and provides oversight for configuration change control activities through an organization-defined configuration change control element that convenes at the organization-defined frequency, and/or for any organization-defined configuration change conditions.",NIST SP 800-53 Revision 5,Policy
CCI-000320,Defines the frequency with which to convene the configuration change control element.,NIST SP 800-53 Revision 5,Policy
CCI-000321,Defines configuration change conditions that prompt the configuration change control element to convene.,NIST SP 800-53 Revision 5,Policy
CCI-000322,Use organization-defined automated mechanisms to document proposed changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000323,Use organization-defined automated mechanisms to notify organization-defined approval authorities of proposed changes to the system and request change approval.,NIST SP 800-53 Revision 5,Policy
CCI-000324,Use organization-defined automated mechanisms to highlight proposed changes to the system that have not been approved or disapproved by an organization-defined time period.,NIST SP 800-53 Revision 5,Policy
CCI-000325,Use organization-defined automated mechanisms to prohibit changes to the system until designated approvals are received.,NIST SP 800-53 Revision 5,Policy
CCI-000326,Use organization-defined automated mechanisms to document all changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000327,Tests changes to the system before finalizing the implementation of the changes.,NIST SP 800-53 Revision 5,Policy
CCI-000328,Validate changes to the system before finalizing the implementation of the changes.,NIST SP 800-53 Revision 5,Policy
CCI-000329,Document changes to the system before finalizing the implementation of the changes.,NIST SP 800-53 Revision 5,Policy
CCI-000330,Implement changes to the current system baseline using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000331,Deploy the updated system baseline across the installed base using organization-defined automated mechanism.,NIST SP 800-53 Revision 5,Policy
CCI-000332,Require an organization-defined security representative to be a member of the organization-defined configuration change control element.,NIST SP 800-53 Revision 5,Policy
CCI-000333,Analyze changes to the system to determine potential security impacts prior to change implementation.,NIST SP 800-53 Revision 5,Policy
CCI-000335,"After system changes, verify that the impacted controls are implemented correctly, meeting the security requirements for the system.",NIST SP 800-53 Revision 5,Policy
CCI-000336,"After system changes, verify that the impacted controls are operating as intended, meeting the security requirements for the system.",NIST SP 800-53 Revision 5,Policy
CCI-000337,"After system changes, verify that the impacted controls are producing the desired outcome with regard to meeting the security requirements for the system.",NIST SP 800-53 Revision 5,Policy
CCI-000340,Approve physical access restrictions associated with changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000341,Enforce physical access restrictions associated with changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000344,Approve logical access restrictions associated with changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000345,Enforce logical access restrictions associated with changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-000353,Defines system components requiring enforcement of a dual authorization for system changes.,NIST SP 800-53 Revision 5,Policy
CCI-000354,Enforce dual authorization for implementing changes to organization-defined system components.,NIST SP 800-53 Revision 5,"Technical,Policy"
CCI-000366,Implement the security configuration settings.,NIST SP 800-53 Revision 5,"Policy,Technical"
CCI-000367,Identify any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.,NIST SP 800-53 Revision 5,Policy
CCI-000368,Document any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.,NIST SP 800-53 Revision 5,Policy
CCI-000369,Approve any deviations from the established configuration settings for organization-defined system components based on organization-defined operational requirements.,NIST SP 800-53 Revision 5,Policy
CCI-000370,Manage configuration settings for organization-defined system components using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000371,Apply configuration settings for organization-defined system components using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-000372,Verify configuration settings for organization-defined system components using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
