Resilience Approach Name,Resilience Approach Definition,Resilience Approach Description,Resilience Approach Discussion,Resilience Technique Name
Calibrated Defense-in-Depth,"Provide complementary protective mechanisms at different architectural layers or in different locations, calibrating the strength and number of mechanisms to resource value.",Don’t expect one defense to suffice – but apply layered defenses based on risk.,Avoid creating single points of failure. Do not make the adversary’s job easy.,Coordinated Protection
Consistency Analysis,"Determine whether and how protections can be applied in a coordinated, consistent way that minimizes interference, potential cascading failures, or coverage gaps.",Minimize opportunities for the system’s security capabilities to be used incompletely or inconsistently.,"Over time, changing access policies for information, allowable uses of capabilities, and dependencies among systems and components can produce fragility and provide adversaries with opportunities.",Coordinated Protection
Orchestration,"Coordinate modifications to and the ongoing behavior of mechanisms and processes at different layers, in different locations, or implemented for different aspects of trustworthiness to avoid causing cascading failures, interference, or coverage gaps.","Coordinate security capabilities at different layers, and in different systems or components, to avoid coverage gaps or interference.","Orchestrate updates of capabilities and policies – in particular, for identity, credentialing, and access management (ICAM) – across systems. Orchestrate monitoring across architectural layers. Use a cyber playbook to orchestrate incident response efforts",Coordinated Protection
Self-Challenge,Affect mission/business processes or system elements adversely in a controlled manner to validate the effectiveness of protections and to enable proactive response and improvement.,Validate the effectiveness of capabilities and processes in action.,"Use tabletop exercises (TTXs), Red Teams, penetration testing, or automated fault injection throughout the system lifecycle and with different scopes.",Coordinated Protection
Contextual Unpredictability,Change behavior or state in ways that are determined randomly or by complex functions.,Keep the adversary from extrapolating from similar events.,Don’t let the adversary take advantage of consistency.,Unpredictability
Temporal Unpredictability,Change behavior or state at times that are determined randomly or by complex functions.,Keep the adversary from extrapolating from past events.,Don’t let the present duplicate the past.,Unpredictability
Disinformation,Provide deliberately misleading information to adversaries.,Lie to adversaries.,Typical forms of disinformation include decoy accounts and decoy credentials.,Deception
Misdirection,Maintain deception resources or environments and direct adversary activities there.,Direct adversary activities to deception environments or resources.,"Commercial products can be used to create and maintain a deception network, but ongoing effort is needed to keep it current, engage with adversaries, and analyze adversary TTPs.",Deception
Obfuscation,"Hide, transform, or otherwise make information unintelligible to the adversary.",Make information hard for the adversary to find and understand.,Encryption is a key method for obfuscation.,Deception
Tainting,Embed covert capabilities in resources.,Cause what adversaries steal to give them away or otherwise harm them.,Enable exfiltrated data to “phone home.”,Deception
Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",Maintain awareness of systems’ performance and security posture.,"Integrate network performance, system performance, and continuous diagnostics as part of situational awareness",Contextual Awareness
Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",Maintain current awareness of threats – observed and anticipated.,Ensure that the organization’s Security Operations Center (SOC) ingests cyber threat intelligence.,Contextual Awareness
Mission Dependency and Status Visualization,"Maintain a useful current visualization of the status of missions or business functions, dependencies on resources, and the status of those resources with respect to threats.",Maintain an up-to-date cyber operational picture.,"Maintain an up-to-date dependency map for mission essential or business essential functions. Integrate resource and threat awareness into situational awareness, and enable focused visualization for high value assets and infrastructure services.",Contextual Awareness
Dynamic Segmentation and Isolation,"Change the configuration of enclaves or protected segments, or isolate resources while minimizing operational disruption.",Isolate resources dynamically to reduce transient risks.,"Consider software-defined networking (SDN) and network function virtualization (NFV), consistent with ZT principles, particularly for high value assets.",Segmentation
Predefined Segmentation,"Define enclaves, segments, micro-segments, or other restricted types of resource sets based on criticality and trustworthiness so that they can be protected separately and, if necessary, isolated.","Define enclaves, segments, or micro-segments to protect them separately.",Predefined enclaves and micro-segmentation facilitate risk-calibrated use of other security and cyber resiliency techniques.,Segmentation
Evolvability,"Provide mechanisms and structure resources to enable the system to be maintained, modified, extended, or used in new ways without increasing security or mission risk.",Don’t commit to an unchanging architecture.,Expect a broader range of “plug and play” capabilities over time.,Realignment
Offloading,Offload supportive but non-essential functions to other systems or to an external provider that is better able to perform the functions securely.,Offload functions when an external provider can do a better job.,Offloading reduces the attack surface and motivates ongoing consideration of what’s essential.,Realignment
Purposing,"Ensure cyber resources are used consistently with mission or business function purposes and approved uses, thereby avoiding unnecessary sharing and complexity.",Ensure resources are used consistently with mission or business function purposes and approved uses.,"Avoid “mission creep,” which can increase a system’s attack surface.",Realignment
Replacement,Replace low-assurance or poorly understood components with more trustworthy ones,Replace what can’t be trusted.,"Some components are best simply discarded, particularly in light of supply chain risks. However, the decommissioning and replacement processes need to be secure.",Realignment
Restriction,Remove or disable unneeded functionality or connectivity.,Lock capabilities down.,"Lock it down, even though that reduces agility and leaves some capabilities unused.",Realignment
Specialization,"Modify the design of, augment, or configure critical cyber resources uniquely for the mission or business function to improve trustworthiness.",Build special-purpose components or develop “special sauce.”,Prevent the adversary from being able to mirror your system.,Realignment
Forensic and Behavioral Analysis,"Analyze indicators and adversary TTPs, including observed behavior as well as malware and other artifacts left behind by adverse events.","Analyze adversary activities and artifacts to develop understanding and attribution of adversary goals, capabilities, and practices.",Ensure that policies and practices are in place to capture evidence and support analysis,Analytic Monitoring
Monitoring and Damage Assessment,"Monitor and analyze behavior and characteristics of components and resources to look for indicators of adversary activity, to look for precursor conditions or indicators of other threat events, and to detect and assess damage from adversity.",Look for indications that something might be awry and what damage might have occurred.,"Leverage Continuous Diagnostics and Monitoring (CDM) and other monitoring capabilities, including those related to health and status (H&S). Integrate with threat hunting and insider threat monitoring.",Analytic Monitoring
Sensor Fusion and Analysis,Fuse and analyze monitoring data and analysis results from different information sources or at different times together with externally provided threat intelligence.,Put the pieces together – from many different sources.,"Consider all possible sources of monitoring information, including CDM, H&S, physical access logs, and insider threat monitoring.",Analytic Monitoring
Non-Persistent Connectivity,"Establish connections on demand, and terminate connections when no longer needed.",Don’t leave a communications line open.,"Leverage software-defined networking (SDN), particularly in a ZTA.",Non-Persistence
Non-Persistent Information,"Refresh information periodically, or generate information on demand, and delete it when no longer needed.",Limit how long information is exposed.,Determine how temporary “temporary” files are.,Non-Persistence
Non-Persistent Services,"Refresh services periodically, or generate services on demand and terminate services when no longer needed.",Don’t let a service run indefinitely – it may have been compromised while running.,Instantiating services on demand and expunging them when inactive can be a performance management strategy as well.,Non-Persistence
Protected Backup and Restore,"Back up information and software (including configuration data and virtualized resources) in a way that protects its confidentiality, integrity, and authenticity, and enable safe and secure restoration in case of disruption or corruption.","Back up resources securely, and defend the restore process from adversary exploitation.","restore process from adversary exploitation.
Keep in mind that transitions are often periods of exposure, and backups can be compromised.",Redundancy
Replication,"Duplicate hardware, information, backups, or functionality in multiple locations and keep them synchronized.",Replicate capabilities in multiple locations and keep them synchronized.,"Where possible, replicate capabilities using diverse resources.",Redundancy
Surplus Capacity,"Maintain extra capacity for information storage, processing, or communications.",Don’t skimp on resources – provide surge capacity.,"Where possible, use diverse resources to provide surplus capacity.",Redundancy
Contextual Uncertainty,,,,Uncertainty
