ISO 27001 ID,ISO 27002 ID,Security Control Type,Security Control Name,Security Control Description,Security Control Purpose,Guidance,Other Information,Type,Phase
A.5.22,5.22,Organizational controls,"Monitoring, review and change management of supplier services","The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.",To maintain an agreed level of information security and service delivery in line with supplier agreements.,"Monitoring, review and change management of supplier services should ensure the information security terms and conditions of the agreements are complied with, information security incidents and problems are managed properly and changes in supplier services or business status do not affect service delivery. This should involve a process to manage the relationship between the organization and the supplier to: a) monitor service performance levels to verify compliance with the agreements; b) monitor changes made by suppliers including: 1) enhancements to the current services offered; 2) development of any new applications and systems; 3) modifications or updates of the supplier’s policies and procedures; 4) new or changed controls to resolve information security incidents and to improve information security; c) monitor changes in supplier services including: 1) changes and enhancement to networks; 2) use of new technologies; 3) adoption of new products or newer versions or releases; 4) new development tools and environments; 5) changes to physical location of service facilities; 6) change of sub-suppliers; 7) sub-contracting to another supplier; d) review service reports produced by the supplier and arrange regular progress meetings as required by the agreements; e) conduct audits of suppliers and sub-suppliers, in conjunction with review of independent auditor’s reports, if available and follow-up on issues identified; f) provide information about information security incidents and review this information as required by the agreements and any supporting guidelines and procedures; g) review supplier audit trails and records of information security events, operational problems, failures, tracing of faults and disruptions related to the service delivered; h) respond to and manage any identified information security events or incidents; i) identify information security vulnerabilities and manage them; j) review information security aspects of the supplier’s relationships with its own suppliers; k) ensure that the supplier maintains sufficient service capability together with workable plans designed to ensure that agreed service continuity levels are maintained following major service failures or disaster (see 5.29, 5.30, 5.35, 5.36, 8.14); l) ensure that suppliers assign responsibilities for reviewing compliance and enforcing the requirements of the agreements; m) evaluate regularly that the suppliers maintain adequate information security levels. The responsibility for managing supplier relationships should be assigned to a designated individual or team. Sufficient technical skills and resources should be made available to monitor that the requirements of the agreement, in particular the information security requirements, are being met. Appropriate actions should be taken when deficiencies in the service delivery are observed.",See ISO/IEC 27036-3 for more detail.,Preventive,Identify
A.5.23,5.23,Organizational controls,Information security for use of cloud services,"Processes for acquisition, use, management and exit from cloud services shall be established in accordance with the organization’s information security requirements.",To specify and manage information security for the use of cloud services.,"The organization should establish and communicate topic-specific policy on the use of cloud services to all relevant interested parties. The organization should define and communicate how it intends to manage information security risks associated with the use of cloud services. It can be an extension or part of the existing approach for how an organization manages services provided by external parties (see 5.21 and 5.22). The use of cloud services can involve shared responsibility for information security and collaborative effort between the cloud service provider and the organization acting as the cloud service customer. It is essential that the responsibilities for both the cloud service provider and the organization, acting as the cloud service customer, are defined and implemented appropriately. The organization should define: a) all relevant information security requirements associated with the use of the cloud services; b) cloud service selection criteria and scope of cloud service usage; c) roles and responsibilities related to the use and management of cloud services; d) which information security controls are managed by the cloud service provider and which are managed by the organization as the cloud service customer; e) how to obtain and utilize information security capabilities provided by the cloud service provider; f) how to obtain assurance on information security controls implemented by cloud service providers; g) how to manage controls, interfaces and changes in services when an organization uses multiple cloud services, particularly from different cloud service providers; h) procedures for handling information security incidents that occur in relation to the use of cloud services; i) its approach for monitoring, reviewing and evaluating the ongoing use of cloud services to manage information security risks; j) how to change or stop the use of cloud services including exit strategies for cloud services. Cloud service agreements are often pre-defined and not open to negotiation. For all cloud services, the organization should review cloud service agreements with the cloud service provider(s). A cloud service agreement should address the confidentiality, integrity, availability and information handling requirements of the organization, with appropriate cloud service level objectives and cloud service qualitative objectives. The organization should also undertake relevant risk assessments to identify the risks associated with using the cloud service. Any residual risks connected to the use of the cloud service should be clearly identified and accepted by the appropriate management of the organization. An agreement between the cloud service provider and the organization, acting as the cloud service customer, should include the following provisions for the protection of the organization’s data and availability of services: a) providing solutions based on industry accepted standards for architecture and infrastructure; b) managing access controls of the cloud service to meet the requirements of the organization; c) implementing malware monitoring and protection solutions; d) processing and storing the organization’s sensitive information in approved locations (e.g. particular country or region) or within or subject to a particular jurisdiction; e) providing dedicated support in the event of an information security incident in the cloud service environment; f) ensuring that the organization’s information security requirements are met in the event of cloud services being further sub-contracted to an external supplier (or prohibiting cloud services from being sub-contracted); g) supporting the organization in gathering digital evidence, taking into consideration laws and regulations for digital evidence across different jurisdictions; h) providing appropriate support and availability of services for an appropriate time frame when the organization wants to exit from the cloud service; i) providing required backup of data and configuration information and securely managing backups as applicable, based on the capabilities of the cloud service provider used by the organization, acting as the cloud service customer; j) providing and returning information such as configuration files, source code and data that are owned by the organization, acting as the cloud service customer, when requested during the service provision or at termination of service. The organization, acting as the cloud service customer, should consider whether the agreement should require cloud service providers to provide advance notification prior to any substantive customer impacting changes being made to the way the service is delivered to the organization, including: a) changes to the technical infrastructure (e.g. relocation, reconfiguration, or changes in hardware or software) that affect or change the cloud service offering; b) processing or storing information in a new geographical or legal jurisdiction; c) use of peer cloud service providers or other sub-contractors (including changing existing or using new parties). The organization using cloud services should maintain close contact with its cloud service providers. These contacts enable mutual exchange of information about information security for the use of the cloud services including a mechanism for both cloud service provider and the organization, acting as the cloud service customer, to monitor each service characteristic and report failures to the commitments contained in the agreements.","This control considers cloud security from the perspective of the cloud service customer. Additional information relating to cloud services can be found in ISO/IEC 17788, ISO/IEC 17789 and ISO/IEC 22123-1. Specifics related to cloud portability in support of exit strategies can be found in ISO/IEC 19941. Specifics related to information security and public cloud services are described in ISO/IEC 27017. Specifics related to PII protection in public clouds acting as PII processor are described in ISO/IEC 27018. Supplier relationships for cloud services are covered by ISO/IEC 27036-4 and cloud service agreements and their contents are dealt with in the ISO/IEC 19086 series, with security and privacy specifically covered by ISO/IEC 19086-4.",Preventive,Protect
A.5.24,5.24,Organizational controls,Information security incident management planning and preparation,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.","To ensure quick, effective, consistent and orderly response to information security incidents, including communication on information security events.","Roles and responsibilities The organization should establish appropriate information security incident management processes. Roles and responsibilities to carry out the incident management procedures should be determined and effectively communicated to the relevant internal and external interested parties. The following should be considered: a) establishing a common method for reporting information security events including point of contact (see 6.8); b) establishing an incident management process to provide the organization with capability for managing information security incidents including administration, documentation, detection, triage, prioritization, analysis, communication and coordinating interested parties; c) establishing an incident response process to provide the organization with capability for assessing, responding to and learning from information security incidents; d) only allowing competent personnel to handle the issues related to information security incidents within the organization. Such personnel should be provided with procedure documentation and periodic training; e) establishing a process to identify required training, certification and ongoing professional development for incident response personnel. Incident management procedures The objectives for information security incident management should be agreed with management and it should be ensured that those responsible for information security incident management understand the organization’s priorities for handling information security incidents including resolution time frame based on potential consequences and severity. Incident management procedures should be implemented to meet these objectives and priorities. Management should ensure that an information security incident management plan is created considering different scenarios and procedures are developed and implemented for the following activities: a) evaluation of information security events according to criteria for what constitutes an information security incident; b) monitoring (see 8.15 and 8.16), detecting (see 8.16), classifying (see 5.25), analyzing and reporting (see 6.8) of information security events and incidents (by human or automatic means); c) managing information security incidents to conclusion, including response and escalation (see 5.26), according to the type and the category of the incident, possible activation of crisis management and activation of continuity plans, controlled recovery from an incident and communication to internal and external interested parties; d) coordination with internal and external interested parties such as authorities, external interest groups and forums, suppliers and clients (see 5.5 and 5.6); e) logging incident management activities; f) handling of evidence (see 5.28); g) root cause analysis or post-mortem procedures; h) identification of lessons learned and any improvements to the incident management procedures or information security controls in general that are required. Reporting procedures Reporting procedures should include: a) actions to be taken in case of an information security event (e.g. noting all pertinent details immediately such as malfunction occurring and messages on screen, immediately reporting to the point of contact and only taking coordinated actions); b) use of incident forms to support personnel to perform all necessary actions when reporting information security incidents; c) suitable feedback processes to ensure that those persons reporting information security events are notified, to the extent possible, of outcomes after the issue has been addressed and closed; d) creation of incident reports. Any external requirements on reporting of incidents to relevant interested parties within the defined time frame (e.g. breach notification requirements to regulators) should be considered when implementing incident management procedures.","Information security incidents can transcend organizational and national boundaries. To respond to such incidents, it is beneficial to coordinate response and share information about these incidents with external organizations as appropriate. Detailed guidance on information security incident management is provided in the ISO/IEC 27035 series.",Corrective,"Respond,Recover"
A.5.25,5.25,Organizational controls,Assessment and decision on information security events,The organization shall assess information security events and decide if they are to be categorized as information security incidents.,To ensure effective categorization and prioritization of information security events.,A categorization and prioritization scheme of information security incidents should be agreed for the identification of the consequences and priority of an incident. The scheme should include the criteria to categorize events as information security incidents. The point of contact should assess each information security event using the agreed scheme. Personnel responsible for coordinating and responding to information security incidents should perform the assessment and make a decision on information security events. Results of the assessment and decision should be recorded in detail for the purpose of future reference and verification.,The ISO/IEC 27035 series provides further guidance on incident management.,Detective,"Detect,Respond"
A.5.26,5.26,Organizational controls,Response to information security incidents,Information security incidents shall be responded to in accordance with the documented procedures.,To ensure efficient and effective response to information security incidents.,"The organization should establish and communicate procedures on information security incident response to all relevant interested parties. Information security incidents should be responded to by a designated team with the required competency (see 5.24). The response should include the following: a) containing, if the consequences of the incident can spread, the systems affected by the incident; b) collecting evidence (see 5.28) as soon as possible after the occurrence; c) escalation, as required including crisis management activities and possibly invoking business continuity plans (see 5.29 and 5.30); d) ensuring that all involved response activities are properly logged for later analysis; e) communicating the existence of the information security incident or any relevant details thereof to all relevant internal and external interested parties following the need-to-know principle; f) coordinating with internal and external parties such as authorities, external interest groups and forums, suppliers and clients to improve response effectiveness and help to minimize consequences for other organizations; g) once the incident has been successfully addressed, formally closing and recording it; h) conducting information security forensic analysis, as required (see 5.28); i) performing post-incident analysis to identify root cause. Ensure it is documented and communicated according to defined procedures (see 5.27); j) identifying and managing information security vulnerabilities and weaknesses including those related to controls which have caused, contributed to or failed to prevent the incident.",The ISO/IEC 27035 series provides further guidance on incident management.,Corrective,"Respond,Recover"
A.5.27,5.27,Organizational controls,Learning from information security incidents,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.,To reduce the likelihood or consequences of future incidents.,"The organization should establish procedures to quantify and monitor the types, volumes and costs of information security incidents. The information gained from the evaluation of information security incidents should be used to: a) enhance the incident management plan including incident scenarios and procedures (see 5.24); b) identify recurring or serious incidents and their causes to update the organization’s information security risk assessment and determine and implement necessary additional controls to reduce the likelihood or consequences of future similar incidents. Mechanisms to enable that include collecting, quantifying and monitoring information about incident types, volumes and costs; c) enhance user awareness and training (see 6.3) by providing examples of what can happen, how to respond to such incidents and how to avoid them in the future.",The ISO/IEC 27035 series provides further guidance.,Preventive,"Identify,Protect"
A.5.28,5.28,Organizational controls,Collection of evidence,"The organization shall establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events.",To ensure a consistent and effective management of evidence related to information security incidents for the purposes of disciplinary and legal actions.,"Internal procedures should be developed and followed when dealing with evidence related to information security events for the purposes of disciplinary and legal actions. The requirements of different jurisdictions should be considered to maximize chances of admission across the relevant jurisdictions. In general, these procedures for the management of evidence should provide instructions for the identification, collection, acquisition and preservation of evidence in accordance with different types of storage media, devices and status of devices (i.e. powered on or off). Evidence typically needs to be collected in a manner that is admissible in the appropriate national courts of law or another disciplinary forum. It should be possible to show that: a) records are complete and have not been tampered with in any way; b) copies of electronic evidence are probably identical to the originals; c) any information system from which evidence has been gathered was operating correctly at the time the evidence was recorded. Where available, certification or other relevant means of qualification of personnel and tools should be sought, so as to strengthen the value of the preserved evidence. Digital evidence can transcend organizational or jurisdictional boundaries. In such cases, it should be ensured that the organization is entitled to collect the required information as digital evidence.","When an information security event is first detected, it is not always obvious whether or not the event will result in court action. Therefore, the danger exists that necessary evidence is destroyed intentionally or accidentally before the seriousness of the incident is realized. It is advisable to involve legal advice or law enforcement early in any contemplated legal action and take advice on the evidence required. ISO/IEC 27037 provides definitions and guidelines for identification, collection, acquisition and preservation of digital evidence. The ISO/IEC 27050 series deals with electronic discovery, which involves the processing of electronically stored information as evidence.",Corrective,"Detect,Respond"
A.5.29,5.29,Organizational controls,Information security during disruption,The organization shall plan how to maintain information security at an appropriate level during disruption.,To protect information and other associated assets during disruption.,"The organization should determine its requirements for adapting information security controls during disruption. Information security requirements should be included in the business continuity management processes. Plans should be developed, implemented, tested, reviewed and evaluated to maintain or restore the security of information of critical business processes following interruption or failure. Security of information should be restored at the required level and in the required time frames. The organization should implement and maintain: a) information security controls, supporting systems and tools within business continuity and ICT continuity plans; b) processes to maintain existing information security controls during disruption; c) compensating controls for information security controls that cannot be maintained during disruption.","In the context of business continuity and ICT continuity planning, it can be necessary to adapt the information security requirements depending on the type of disruption, compared to normal operational conditions. As part of the business impact analysis and risk assessment performed within business continuity management, the consequences of loss of confidentiality and integrity of information should be considered and prioritized in addition to the need for maintaining availability. Information on business continuity management systems can be found in ISO 22301 and ISO 22313. Further guidance on business impact analysis (BIA) can be found in ISO/TS 22317.","Preventive,Corrective","Protect,Respond"
A.5.30,5.30,Organizational controls,ICT readiness for business continuity,"ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.",To ensure the availability of the organization’s information and other associated assets during disruption.,"ICT readiness for business continuity is an important component in business continuity management and information security management to ensure that the organization’s objectives can continue to be met during disruption. The ICT continuity requirements are the outcome of the business impact analysis (BIA). The BIA process should use impact types and criteria to assess the impacts over time resulting from the disruption of business activities that deliver products and services. The magnitude and duration of the resulting impact should be used to identify prioritized activities which should be assigned a recovery time objective (RTO). The BIA should then determine which resources are needed to support prioritized activities. An RTO should also be specified for these resources. A subset of these resources should include ICT services. The BIA involving ICT services can be expanded to define performance and capacity requirements of ICT systems and recovery point objectives (RPO) of information required to support activities during disruption. Based on the outputs from the BIA and risk assessment involving ICT services, the organization should identify and select ICT continuity strategies that consider options for before, during and after disruption. The business continuity strategies can comprise one or more solutions. Based on the strategies, plans should be developed, implemented and tested to meet the required availability level of ICT services and in the required time frames following interruption to, or failure of, critical processes. The organization should ensure that: a) an adequate organizational structure is in place to prepare for, mitigate and respond to a disruption supported by personnel with the necessary responsibility, authority and competence; b) ICT continuity plans, including response and recovery procedures detailing how the organization is planning to manage an ICT service disruption, are: 1) regularly evaluated through exercises and tests; 2) approved by management; c) ICT continuity plans include the following ICT continuity information: 1) performance and capacity specifications to meet the business continuity requirements and objectives as specified in the BIA; 2) RTO of each prioritized ICT service and the procedures for restoring those components; 3) RPO of the prioritized ICT resources defined as information and the procedures for restoring the information.","Managing ICT continuity forms a key part of business continuity requirements concerning availability to be able to: a) respond and recover from disruption to ICT services regardless of the cause; b) ensure continuity of prioritized activities are supported by the required ICT services; c) respond before a disruption to ICT services occurs, and upon detection of at least one incident that can result in a disruption to ICT services. Further guidance on ICT readiness for business continuity can be found in ISO/IEC 27031. Further guidance on business continuity management systems can be found in ISO 22301 and ISO 22313. Further guidance on BIA can be found in ISO/TS 22317.",Corrective,Respond
A.5.31,5.31,Organizational controls,"Legal, statutory, regulatory and contractual requirements","Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.","To ensure compliance with legal, statutory, regulatory and contractual requirements related to information security.","General External requirements including legal, statutory, regulatory or contractual requirements should be taken into consideration when: a) developing information security policies and procedures; b) designing, implementing or changing information security controls; c) classifying information and other associated assets as part of the process for setting information security requirements for internal needs or for supplier agreements; d) performing information security risk assessments and determining information security risk treatment activities; e) determining processes along with related roles and responsibilities relating to information security; f) determining suppliers’ contractual requirements relevant to the organization and the scope of supply of products and services. Legislation and regulations The organization should: a) identify all legislation and regulations relevant to the organization’s information security in order to be aware of the requirements for their type of business; b) take into consideration compliance in all relevant countries, if the organization: — conducts business in other countries; — uses products and services from other countries where laws and regulations can affect the organization; — transfers information across jurisdictional borders where laws and regulations can affect the organization; c) review the identified legislation and regulation regularly in order to keep up to date with the changes and identify new legislation; d) define and document the specific processes and individual responsibilities to meet these requirements. Cryptography Cryptography is an area that often has specific legal requirements. Compliance with the relevant agreements, laws and regulations relating to the following items should be taken into consideration: a) restrictions on import or export of computer hardware and software for performing cryptographic functions; b) restrictions on import or export of computer hardware and software which is designed to have cryptographic functions added to it; c) restrictions on the usage of cryptography; d) mandatory or discretionary methods of access by the countries’ authorities to encrypted information; e) validity of digital signatures, seals and certificates. It is recommended to seek legal advice when ensuring compliance with relevant legislation and regulations, especially when encrypted information or cryptography tools are moved across jurisdictional borders. Contracts Contractual requirements related to information security should include those stated in: a) contracts with clients; b) contracts with suppliers (see 5.20); c) insurance contracts.",No other information.,Preventive,Identify
A.5.32,5.32,Organizational controls,Intellectual property rights,The organization shall implement appropriate procedures to protect intellectual property rights.,"To ensure compliance with legal, statutory, regulatory and contractual requirements related to intellectual property rights and use of proprietary products.","The following guidelines should be considered to protect any material that can be considered intellectual property: a) defining and communicating a topic-specific policy on protection of intellectual property rights; b) publishing procedures for intellectual property rights compliance that define compliant use of software and information products; c) acquiring software only through known and reputable sources, to ensure that copyright is not infringed upon; d) maintaining appropriate asset registers and identifying all assets with requirements to protect intellectual property rights; e) maintaining proof and evidence of ownership of licenses, manuals, etc.; f) ensuring that any maximum number of users or resources [e.g. central processing units (CPUs)] permitted within the license is not exceeded; g) carrying out reviews to ensure that only authorized software and licensed products are installed; h) providing procedures for maintaining appropriate license conditions; i) providing procedures for disposing of or transferring software to others; j) complying with terms and conditions for software and information obtained from public networks and outside sources; k) not duplicating, converting to another format or extracting from commercial recordings (video, audio) other than permitted by copyright law or the applicable licenses; l) not copying, in full or in part, standards (e.g. ISO/IEC International Standards), books, articles, reports or other documents, other than permitted by copyright law or the applicable licenses.","Intellectual property rights include software or document copyright, design rights, trademarks, patents and source code licenses. Proprietary software products are usually supplied under a license agreement that specifies license terms and conditions, for example, limiting the use of the products to specified machines or limiting copying to the creation of backup copies only. See the ISO/IEC 19770 series for details about IT asset management. Data can be acquired from outside sources. It is generally the case that such data is obtained under the terms of a data sharing agreement or similar legal instrument. Such data sharing agreements should make it clear what processing is permitted for the acquired data. It is also advisable that the provenance of the data is clearly stated. See ISO/IEC 23751 for details about data sharing agreements. Legal, statutory, regulatory and contractual requirements can place restrictions on the copying of proprietary material. In particular, they can require that only material that is developed by the organization or that is licensed or provided by the developer to the organization, can be used. Copyright infringement can lead to legal action, which can involve fines and criminal proceedings. Aside from the organization needing to comply with its obligations towards third party intellectual property rights, the risks of personnel and third parties failing to uphold the organization’s own intellectual property rights should also be managed.",Preventive,Identify
A.5.33,5.33,Organizational controls,Protection of records,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","To ensure compliance with legal, statutory, regulatory and contractual requirements, as well as community or societal expectations related to the protection and availability of records.","The organization should take the following steps to protect the authenticity, reliability, integrity and usability of records, as their business context and requirements for their management change over time: a) issue guidelines on the storage, handling chain of custody and disposal of records, which includes prevention of manipulation of records. These guidelines should be aligned with the organization’s topic-specific policy on records management and other records requirements; b) draw up a retention schedule defining records and the period of time for which they should be retained. The system of storage and handling should ensure identification of records and of their retention period taking into consideration national or regional legislation or regulations, as well as community or societal expectations, if applicable. This system should permit appropriate destruction of records after that period if they are not needed by the organization. When deciding on protection of specific organizational records, their corresponding information security classification, based on the organization’s classification scheme, should be considered. Records should be categorized into record types (e.g. accounting records, business transaction records, personnel records, legal records), each with details of retention periods and type of allowable storage media which can be physical or electronic. Data storage systems should be chosen such that required records can be retrieved in an acceptable time frame and format, depending on the requirements to be fulfilled. Where electronic storage media are chosen, procedures to ensure the ability to access records (both storage media and format readability) throughout the retention period should be established to safeguard against loss due to future technology change. Any related cryptographic keys and programs associated with encrypted archives or digital signatures, should also be retained to enable decryption of the records for the length of time the records are retained (see 8.24). Storage and handling procedures should be implemented in accordance with recommendations provided by manufacturers of storage media. Consideration should be given to the possibility of deterioration of media used for storage of records.","Records document individual events or transactions or can form aggregations that have been designed to document work processes, activities or functions. They are both evidence of business activity and information assets. Any set of information, regardless of its structure or form, can be managed as a record. This includes information in the form of a document, a collection of data or other types of digital or analogue information which are created, captured and managed in the course of business. In the management of records, metadata is data describing the context, content and structure of records, as well as their management over time. Metadata is an essential component of any record. It can be necessary to retain some records securely to meet legal, statutory, regulatory or contractual requirements, as well as to support essential business activities. National law or regulation can set the time period and data content for information retention. Further information about records management can be found in ISO 15489.",Preventive,"Identify,Protect"
A.5.34,5.34,Organizational controls,Privacy and protection of personal identifiable information (PII),The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.,"To ensure compliance with legal, statutory, regulatory and contractual requirements related to the information security aspects of the protection of PII.","The organization should establish and communicate a topic-specific policy on privacy and protection of PII to all relevant interested parties. The organization should develop and implement procedures for the preservation of privacy and protection of PII. These procedures should be communicated to all relevant interested parties involved in the processing of personally identifiable information. Compliance with these procedures and all relevant legislation and regulations concerning the preservation of privacy and protection of PII requires appropriate roles, responsibilities and controls. Often this is best achieved by the appointment of a person responsible, such as a privacy officer, who should provide guidance to personnel, service providers and other interested parties on their individual responsibilities and the specific procedures that should be followed. Responsibility for handling PII should be dealt with taking into consideration relevant legislation and regulations. Appropriate technical and organizational measures to protect PII should be implemented.","A number of countries have introduced legislation placing controls on the collection, processing, transmission and deletion of PII. Depending on the respective national legislation, such controls can impose duties on those collecting, processing and disseminating PII and can also restrict the authority to transfer PII to other countries. ISO/IEC 29100 provides a high-level framework for the protection of PII within ICT systems. Further information on privacy information management systems can be found in ISO/IEC 27701. Specific information regarding privacy information management for public clouds acting as PII processors can be found in ISO/IEC 27018. ISO/IEC 29134 provides guidelines for privacy impact assessment (PIA) and gives an example of the structure and content of a PIA report. Compared with ISO/IEC 27005, this is focused on PII processing and relevant to those organizations that process PII. This can help identify privacy risks and possible mitigations to reduce these risks to acceptable levels.",Preventive,"Identify,Protect"
A.5.35,5.35,Organizational controls,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.","To ensure the continuing suitability, adequacy and effectiveness of the organization’s approach to managing information security.","The organization should have processes to conduct independent reviews. Management should plan and initiate periodic independent reviews. The reviews should include assessing opportunities for improvement and the need for changes to the approach to information security, including the information security policy, topic-specific policies and other controls. Such reviews should be carried out by individuals independent of the area under review (e.g. the internal audit function, an independent manager or an external party organization specializing in such reviews). Individuals carrying out these reviews should have the appropriate competence. The person conducting the reviews should not be in the line of authority to ensure they have the independence to make an assessment. The results of the independent reviews should be reported to the management who initiated the reviews and, if appropriate, to top management. These records should be maintained. If the independent reviews identify that the organization’s approach and implementation to managing information security is inadequate [e.g. documented objectives and requirements are not met or are not compliant with the direction for information security stated in the information security policy and topic-specific policies (see 5.1)], management should initiate corrective actions. In addition to the periodic independent reviews, the organization should consider conducting independent reviews when: a) laws and regulations which affect the organization change; b) significant incidents occur; c) the organization starts a new business or changes a current business; d) the organization starts to use a new product or service, or changes the use of a current product or service; e) the organization changes the information security controls and procedures significantly.",ISO/IEC 27007 and ISO/IEC TS 27008 provide guidance for carrying out independent reviews.,"Preventive,Corrective","Identify,Protect"
A.5.36,5.36,Organizational controls,"Compliance with policies, rules and standards for information security","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.","To ensure that information security is implemented and operated in accordance with the organization’s information security policy, topic-specific policies, rules and standards.","Managers, service, product or information owners should identify how to review that information security requirements defined in the information security policy, topic-specific policies, rules, standards and other applicable regulations are met. Automatic measurement and reporting tools should be considered for efficient regular review. If any non-compliance is found as a result of the review, managers should: a) identify the causes of the non-compliance; b) evaluate the need for corrective actions to achieve compliance; c) implement appropriate corrective actions; d) review corrective actions taken to verify its effectiveness and identify any deficiencies or weaknesses. Results of reviews and corrective actions carried out by managers, service, product or information owners should be recorded and these records should be maintained. Managers should report the results to the persons carrying out independent reviews (see 5.35) when an independent review takes place in the area of their responsibility. Corrective actions should be completed in a timely manner as appropriate to the risk. If not completed by the next scheduled review, progress should at least be addressed at that review.","Operational monitoring of system use is covered in 8.15, 8.16, 8.17.",Preventive,"Identify,Protect"
A.5.37,5.37,Organizational controls,Documented operating procedures,Operating procedures for information processing facilities shall be documented and made available to personnel who need them.,To ensure the correct and secure operation of information processing facilities.,"Documented procedures should be prepared for the organization’s operational activities associated with information security, for example: a) when the activity needs to be performed in the same way by many people; b) when the activity is performed rarely and when next performed the procedure is likely to have been forgotten; c) when the activity is new and presents a risk if not performed correctly; d) prior to handing over the activity to new personnel. The operating procedures should specify: a) the responsible individuals; b) the secure installation and configuration of systems; c) processing and handling of information, both automated and manual; d) backup (see 8.13) and resilience; e) scheduling requirements, including interdependencies with other systems; f) instructions for handling errors or other exceptional conditions [e.g. restrictions on the use of utility programs (see 8.18)], which can arise during job execution; g) support and escalation contacts including external support contacts in the event of unexpected operational or technical difficulties; h) storage media handling instructions (see 7.10 and 7.14); i) system restart and recovery procedures for use in the event of system failure; j) the management of audit trail and system log information (see 8.15 and 8.17) and video monitoring systems (see 7.4); k) monitoring procedures such as capacity, performance and security (see 8.6 and 8.16); l) maintenance instructions. Documented operating procedures should be reviewed and updated when needed. Changes to documented operating procedures should be authorized. Where technically feasible, information systems should be managed consistently, using the same procedures, tools and utilities.",No other information.,"Preventive,Corrective","Protect,Recover"
