CWE ID,CWE Name,Weakness Abstraction,Status,Description,Extended Description,Related Weaknesses,Weakness Ordinalities,Applicable Platforms,Background Details,Alternate Terms,Modes Of Introduction,Common Consequences,Detection Methods,Potential Mitigations,Observed Examples,Functional Areas,Affected Resources,Taxonomy Mappings,Notes,Type
618,Exposed Unsafe ActiveX Method,Variant,Incomplete,"An ActiveX control is intended for use in a web browser, but it exposes dangerous methods that perform actions that are outside of the browser's security model (e.g. the zone or domain).","ActiveX controls can exercise far greater control over the operating system than typical Java or javascript. Exposed methods can be subject to various vulnerabilities, depending on the implemented behaviors of those methods, and whether input validation i",NATURE:ChildOf:CWE ID:749 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Primary::,,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Other IMPACT - Other,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e","PHASE - Implementation DESCRIPTION - If you must expose a method, make sure to perform input validation on all arguments, and protect against all possible vulnerabilities.  PHASE - Architecture and Design DESCRIPTION - Use code signing, although this does",REFERENCE - CVE-2007-1120 DESCRIPTION - download a file to arbitrary folders. LINK - https://www.cve.org/CVERecord?id=CVE-2007-1120  REFERENCE - CVE-2006-6838 DESCRIPTION - control downloads and executes a url in a parameter LINK - https://www.cve.org/CVE,,,,,"Software Development,Research Concept"
1022,Use of Web Link to Untrusted Target with window.opener Access,Variant,Incomplete,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.","When a user clicks a link to an external site (target), the target=_blank attribute causes the target site's contents to be opened in a new window or tab, which runs in the same process as the original page. The window.opener object records information ab",NATURE:ChildOf:CWE ID:266 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE NAME:JavaScript LANGUAGE PREVALENCE:Often TECHNOLOGY CLASS:Web Based TECHNOLOGY PREVALENCE:Often,,TERM - tabnabbing::,PHASE - Architecture and Design: NOTE - This weakness is introduced during the design of an application when the architect does not specify that a linked external document should not be able to alter the location of the calling page. PHASE - Implementatio,SCOPE - Confidentiality IMPACT - Alter Execution Logic NOTE - The user may be redirected to an untrusted page that contains undesired content or malicious script code.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Specify in the design that any linked external document must not be granted access to the location object of the calling page.  PHASE - Implementation DESCRIPTION - When creating a link to an external document,"REFERENCE - CVE-2022-4927 DESCRIPTION - Library software does not use rel: noopener noreferrer setting, allowing tabnabbing attacks to redirect to a malicious page LINK - https://www.cve.org/CVERecord?id=CVE-2022-4927",,,,,Research Concept
35,Path Traversal: '.../...//',Variant,Incomplete,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '.../...//' (doubled triple dot slash) sequences that can resolve to a location that is outside of that directory.",This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The '.../...//' manipulation is useful for bypassing some path traversal protection schemes. If ../ is filtered in a sequential ,NATURE:ChildOf:CWE ID:23 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity IMPACT - Read Files or Directories IMPACT - Modify Files or Directories,,"PHASE - Implementation STRATEGY - Input Validation DESCRIPTION - Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does n",REFERENCE - CVE-2005-2169 DESCRIPTION - chain: .../...// bypasses protection mechanism using regexp's that remove ../ resulting in collapse into an unsafe value ../ (CWE-182) and resultant path traversal. LINK - https://www.cve.org/CVERecord?id=CVE-2005-2,,,TAXONOMY NAME - PLOVER:ENTRY NAME:'.../...//' TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP16:ENTRY NAME:Path Traversal::,,Research Concept
393,Return of Wrong Status Code,Base,Draft,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.","This can lead to unpredictable behavior. If the function is used to make security-critical decisions or provide security-critical information, then the wrong status code can cause the product to assume that an action is safe, even when it is not.",NATURE:ChildOf:CWE ID:684 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:703 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Integrity SCOPE - Other IMPACT - Unexpected State IMPACT - Alter Execution Logic NOTE - This weakness could place the system in a state that could lead unexpected logic to be executed or other unintended behaviors.,"METHOD - Fuzzing DESCRIPTION - Fuzz testing (fuzzing) is a powerful technique for generating large numbers of diverse inputs - either randomly or algorithmically - and dynamically invoking the code with those inputs. Even with random inputs, it is often c",,"REFERENCE - CVE-2003-1132 DESCRIPTION - DNS server returns wrong response code for non-existent AAAA record, which effectively says that the domain is inaccessible. LINK - https://www.cve.org/CVERecord?id=CVE-2003-1132  REFERENCE - CVE-2001-1509 DESCRIPTI",,,TAXONOMY NAME - PLOVER:ENTRY NAME:Wrong Status Code TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP6:ENTRY NAME:Incorrect Exception Behavior::,"TYPE - Relationship NOTE - This can be primary or resultant, but it is probably most often primary to other issues.::","Software Development,Research Concept"
427,Uncontrolled Search Path Element,Base,Draft,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.","Although this weakness can occur with any type of resource, it is frequently introduced when a product uses a directory search path to find executables or code libraries, but the path contains a directory that can be modified by an attacker, such as /tmp ",NATURE:ChildOf:CWE ID:668 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:668 VIEW ID:1003 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined,,"TERM - DLL preloading DESCRIPTION - This term is one of several that are used to describe exploitation of untrusted search path elements in Windows systems, which received wide attention in August 2010. From a weakness perspective, the term is imprecise b",PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity SCOPE - Availability IMPACT - Execute Unauthorized Code or Commands,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e","PHASE - Architecture and Design Implementation STRATEGY - Attack Surface Reduction DESCRIPTION - Hard-code the search path to a set of known-safe values (such as system directories), or only allow them to be specified by the administrator in a configurati","REFERENCE - CVE-2023-25815 DESCRIPTION - chain: a change in an underlying package causes the gettext function to use implicit initialization with a hard-coded path (CWE-1419) under the user-writable C: drive, introducing an untrusted search path element (",,,TAXONOMY NAME - PLOVER:ENTRY NAME:Uncontrolled Search Path Element::,"TYPE - Relationship NOTE - Unlike untrusted search path (CWE-426), which inherently involves control over the definition of a control sphere (i.e., modification of a search path), this entry concerns a fixed control sphere in which some part of the sphere","Software Development,Research Concept"
787,Out-of-bounds Write,Base,Draft,"The product writes data past the end, or before the beginning, of the intended buffer.","Typically, this can result in corruption of data, a crash, or code execution. The product may modify an index or perform pointer arithmetic that references a memory location that is outside of the boundaries of the buffer. A subsequent write operation the",NATURE:ChildOf:CWE ID:119 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:119 VIEW ID:1003 ORDINAL:Primary NATURE:ChildOf:CWE ID:119 VIEW ID:1305 ORDINAL:Primary NATURE:ChildOf:CWE ID:119 VIEW ID:1340 ORDINAL:Primary,,LANGUAGE NAME:C LANGUAGE PREVALENCE:Often LANGUAGE NAME:C++ LANGUAGE PREVALENCE:Often LANGUAGE CLASS:Assembly LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:ICS/OT TECHNOLOGY PREVALENCE:Often,,"TERM - Memory Corruption DESCRIPTION - Often used to describe the consequences of writing to memory outside the bounds of a buffer, or to memory that is invalid, when the root cause is something other than a sequential copy of excessive data from a fixed",PHASE - Implementation,"SCOPE - Integrity SCOPE - Availability IMPACT - Modify Memory IMPACT - DoS -  Crash, Exit, or Restart IMPACT - Execute Unauthorized Code or Commands",METHOD - Automated Static Analysis DESCRIPTION - This weakness can often be detected using automated static analysis tools. Many modern tools use data flow analysis or constraint-based techniques to minimize the number of false positives. Automated static,"PHASE - Requirements STRATEGY - Language Selection DESCRIPTION - Use a language that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. For example, many languages that perform their own memory management","REFERENCE - CVE-2021-21220 DESCRIPTION - Chain: insufficient input validation (CWE-20) in browser allows heap corruption (CWE-787), as exploited in the wild per CISA KEV. LINK - https://www.cve.org/CVERecord?id=CVE-2021-21220  REFERENCE - CVE-2021-28664 D",,,TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 3-3:ENTRY NAME:Req SR 3.5 TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 4-1:ENTRY NAME:Req SI-1 TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 4-1:ENTRY NAME:Req SI-2 TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 4-1:E,,"Software Development,Research Concept"
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),Base,Stable,The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents.,"A System-On-a-Chip (SoC) has a lot of functionality, but it may have a limited number of pins or pads. A pin can only perform one function at a time. However, it can be configured to perform multiple different functions. This technique is called pin multi",NATURE:ChildOf:CWE ID:653 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:668 VIEW ID:1000 NATURE:PeerOf:CWE ID:1331 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:System on Chip TECHNOLOGY PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation,"SCOPE - Access Control IMPACT - Bypass Protection Mechanism NOTE - If resources being used by a trusted user are shared with an untrusted user, the untrusted user may be able to modify the functionality of the shared resource of the trusted user.  SCOPE -","METHOD - Automated Dynamic Analysis DESCRIPTION - Pre-silicon / post-silicon  Test access to shared systems resources (memory ranges, control registers, etc.) from untrusted software to verify that the assets are not incorrectly exposed to untrusted agent","PHASE - Architecture and Design STRATEGY - Separation of Privilege DESCRIPTION - When sharing resources, avoid mixing agents of varying trust levels. Untrusted agents should not share resources with trusted agents.",REFERENCE - CVE-2020-8698 DESCRIPTION - Processor has improper isolation of shared resources allowing for information disclosure. LINK - https://www.cve.org/CVERecord?id=CVE-2020-8698  REFERENCE - CVE-2019-6260 DESCRIPTION - Baseboard Management Controlle,,,,,"Hardware Development,Research Concept"
33,Path Traversal: '....' (Multiple Dot),Variant,Incomplete,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....' (multiple dot) sequences that can resolve to a location that is outside of that directory.","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The '....' manipulation is useful for bypassing some path traversal protection schemes. On some Windows systems, it is equivalen",NATURE:ChildOf:CWE ID:23 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity IMPACT - Read Files or Directories IMPACT - Modify Files or Directories,,"PHASE - Implementation STRATEGY - Input Validation DESCRIPTION - Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does n",REFERENCE - CVE-2000-0240 DESCRIPTION - read files via /........../ in URL LINK - https://www.cve.org/CVERecord?id=CVE-2000-0240  REFERENCE - CVE-2000-0773 DESCRIPTION - read files via .... in web server LINK - https://www.cve.org/CVERecord?id=CVE-2000-07,,,TAXONOMY NAME - PLOVER:ENTRY NAME:'....' (multiple dot) TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP16:ENTRY NAME:Path Traversal::,"TYPE - Maintenance NOTE - Like the triple-dot CWE-32, this manipulation probably hides multiple weaknesses that should be made more explicit.::",Research Concept
1351,Improper Handling of Hardware Behavior in Exceptionally Cold Environments,Base,Incomplete,"A hardware device, or the firmware running on it, is missing or has incorrect protection features to maintain goals of security primitives when the device is cooled below standard operating temperatures.",The hardware designer may improperly anticipate hardware behavior when exposed to exceptionally cold conditions. As a result they may introduce a weakness by not accounting for the modified behavior of critical components when in extreme environments. An ,NATURE:ChildOf:CWE ID:1384 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Embedded:ARCHITECTURE PREVALENCE:Undetermined ARCHITECTURE CLASS:Microcomputer:ARCHITE,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Integrity SCOPE - Authentication IMPACT - Varies by Context IMPACT - Unexpected State LIKELIHOOD - Low NOTE - Consequences of this weakness are highly contextual.,,PHASE - Architecture and Design DESCRIPTION - The system should account for security primitive behavior when cooled outside standard temperatures.,,,,,,"Hardware Development,Research Concept"
627,Dynamic Variable Evaluation,Variant,Incomplete,"In a language where the user can influence the name of a variable at runtime, if the variable names are not controlled, an attacker can read or write to arbitrary variables, or access arbitrary functions.","The resultant vulnerabilities depend on the behavior of the application, both at the crossover point and in any control/data flow that is reachable by the related variables or functions.",NATURE:ChildOf:CWE ID:914 VIEW ID:1000 ORDINAL:Primary NATURE:PeerOf:CWE ID:183 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE NAME:PHP LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:Perl LANGUAGE PREVALENCE:Undetermined,"Many interpreted languages support the use of a $$varname construct to set a variable whose name is specified by the $varname variable. In PHP, these are referred to as variable variables. Functions might also be invoked using similar syntax, such as $$fu",TERM - Dynamic evaluation::,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity SCOPE - Availability IMPACT - Modify Application Data IMPACT - Execute Unauthorized Code or Commands NOTE - An attacker could gain unauthorized access to internal program variables and execute arbitrary code.,,PHASE - Implementation STRATEGY - Refactoring DESCRIPTION - Refactor the code to avoid dynamic variable evaluation whenever possible.  PHASE - Implementation STRATEGY - Input Validation DESCRIPTION - Use only allowlists of acceptable variable or function ,REFERENCE - CVE-2009-0422 DESCRIPTION - Chain: Dynamic variable evaluation allows resultant remote file inclusion and path traversal. LINK - https://www.cve.org/CVERecord?id=CVE-2009-0422  REFERENCE - CVE-2007-2431 DESCRIPTION - Chain: dynamic variable ev,,,,"TYPE - Research Gap NOTE - Under-studied, probably under-reported. Few researchers look for this issue; most public reports are for PHP, although other languages are affected. This issue is likely to grow in PHP as developers begin to implement functional",Research Concept
244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),Variant,Draft,"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory.","When sensitive data such as a password or an encryption key is not removed from memory, it could be exposed to an attacker using a heap inspection attack that reads the sensitive data using memory dumps or other methods. The realloc() function is commonly",NATURE:ChildOf:CWE ID:226 VIEW ID:1000 ORDINAL:Primary NATURE:CanPrecede:CWE ID:669 VIEW ID:1000,,LANGUAGE NAME:C LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:C++ LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Other IMPACT - Read Memory IMPACT - Other NOTE - Be careful using vfork() and fork() in security sensitive code. The process state will not be cleaned up and will contain traces of data from past use.,,,REFERENCE - CVE-2019-3733 DESCRIPTION - Cryptography library does not clear heap memory before release LINK - https://www.cve.org/CVERecord?id=CVE-2019-3733,,Memory,TAXONOMY NAME - 7 Pernicious Kingdoms:ENTRY NAME:Heap Inspection TAXONOMY NAME - CERT C Secure Coding:ENTRY ID:MEM03-C:ENTRY NAME:Clear sensitive information stored in reusable resources returned for reuse TAXONOMY NAME - Software Fault Patterns:ENTRY ID:,,Research Concept
1191,On-Chip Debug and Test Interface With Improper Access Control,Base,Stable,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,"A device's internal information may be accessed through a scan chain of interconnected internal registers, usually through a JTAG interface. The JTAG interface provides access to these registers in a serial fashion in the form of a scan chain for the purp",NATURE:ChildOf:CWE ID:284 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Not Architecture-Specific:ARCHITECTURE PREVALENCE:Undetermined TECHNOLOGY CLASS:Not Te,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Confidentiality IMPACT - Read Application Data LIKELIHOOD - High  SCOPE - Confidentiality IMPACT - Read Memory LIKELIHOOD - High  SCOPE - Authorization IMPACT - Execute Unauthorized Code or Commands LIKELIHOOD - High  SCOPE - Integrity IMPACT - Mo,METHOD - Dynamic Analysis with Manual Results Interpretation DESCRIPTION - Authentication and authorization of debug and test interfaces should be part of the architecture and design review process. Withholding of private register documentation from the d,"PHASE - Architecture and Design STRATEGY - Separation of Privilege DESCRIPTION - If feasible, the manufacturer should disable the JTAG interface or implement authentication and authorization for the JTAG interface. If authentication logic is added, it sho","REFERENCE - CVE-2019-18827 DESCRIPTION - chain: JTAG interface is not disabled (CWE-1191) during ROM code execution, introducing a race condition (CWE-362) to extract encryption keys LINK - https://www.cve.org/CVERecord?id=CVE-2019-18827",,,,"TYPE - Relationship NOTE - CWE-1191 and CWE-1244 both involve physical debug access, but the weaknesses are different. CWE-1191 is effectively about missing authorization for a debug interface, i.e. JTAG. CWE-1244 is about providing internal assets with t","Hardware Development,Research Concept"
1240,Use of a Cryptographic Primitive with a Risky Implementation,Base,Draft,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.","Cryptographic protocols and systems depend on cryptographic primitives (and associated algorithms) as their basic building blocks. Some common examples of primitives are digital signatures, one-way hash functions, ciphers, and public key cryptography; how",NATURE:ChildOf:CWE ID:327 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Not Architecture-Specific:ARCHITECTURE PREVALENCE:Undetermined TECHNOLOGY CLASS:System,,,PHASE - Architecture and Design: NOTE - This weakness is primarily introduced during the architecture and design phase as risky primitives are included. PHASE - Implementation: NOTE - Even in cases where the Architectural phase properly specifies a crypto,SCOPE - Confidentiality IMPACT - Read Application Data LIKELIHOOD - High NOTE - Incorrect usage of crypto primitives could render the supposedly encrypted data as unencrypted plaintext in the worst case.,"METHOD - Architecture or Design Review DESCRIPTION - Review requirements, documentation, and product design to ensure that primitives are consistent with the strongest-available recommendations from trusted parties. If the product appears to be using cust","PHASE - Requirements DESCRIPTION - Require compliance with the strongest-available recommendations from trusted parties, and require that compliance must be kept up-to-date, since recommendations evolve over time. For example, US government systems requir","REFERENCE - CVE-2020-4778 DESCRIPTION - software uses MD5, which is less safe than the default SHA-256 used by related products LINK - https://www.cve.org/CVERecord?id=CVE-2020-4778  REFERENCE - CVE-2005-2946 DESCRIPTION - Default configuration of product",,,,"TYPE - Terminology NOTE - Terminology for cryptography varies widely, from informal and colloquial to mathematically-defined, with different precision and formalism depending on whether the stakeholder is a developer, cryptologist, etc. Yet there is a nee","Hardware Development,Software Development,Research Concept"
778,Insufficient Logging,Base,Draft,"When a security-critical event occurs, the product either does not record the event or omits important details about the event when logging it.","When security-critical events are not logged properly, such as a failed login attempt, this can make malicious behavior more difficult to detect and may hinder forensic analysis after an attack succeeds. As organizations adopt cloud storage resources, the",NATURE:ChildOf:CWE ID:223 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:693 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:Cloud Computing TECHNOLOGY PREVALENCE:Undetermined,,,PHASE - Operation: NOTE - COMMISSION: This weakness refers to an incorrect design related to an architectural security tactic.,"SCOPE - Non-Repudiation IMPACT - Hide Activities NOTE - If security critical information is not recorded, there will be no trail for forensic analysis and discovering the cause of problems or the source of attacks may become more difficult or impossible.","METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Use a centralized logging mechanism that supports multiple levels of detail.  PHASE - Implementation DESCRIPTION - Ensure that all security-related successes and failures can be logged. When storing data in th,"REFERENCE - CVE-2008-4315 DESCRIPTION - server does not log failed authentication attempts, making it easier for attackers to perform brute force password guessing without being detected LINK - https://www.cve.org/CVERecord?id=CVE-2008-4315  REFERENCE - C",,,,,"Software Development,Research Concept"
547,"Use of Hard-coded, Security-relevant Constants",Base,Draft,"The product uses hard-coded constants instead of symbolic names for security-critical values, which increases the likelihood of mistakes during code maintenance or security policy change.","If the developer does not find all occurrences of the hard-coded constants, an incorrect policy decision may be made if one of the constants is not changed. Making changes to these values will require code changes that may be difficult or impossible once ",NATURE:ChildOf:CWE ID:1078 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Indirect::,,,,PHASE - Implementation,SCOPE - Other IMPACT - Varies by Context IMPACT - Quality Degradation NOTE - The existence of hardcoded constants could cause unexpected behavior and the introduction of weaknesses during code maintenance or when making changes to the code if all occurren,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Implementation DESCRIPTION - Avoid using hard-coded constants. Configuration files offer a more flexible solution.,,,,TAXONOMY NAME - CERT C Secure Coding:ENTRY ID:DCL06-C:ENTRY NAME:Use meaningful symbolic constants to represent literal values in program logic::,,"Software Development,Research Concept"
437,Incomplete Model of Endpoint Features,Base,Incomplete,"A product acts as an intermediary or monitor between two or more endpoints, but it does not have a complete model of an endpoint's features, behaviors, or state, potentially causing the product to perform incorrect actions based on this incomplete model.",,NATURE:ChildOf:CWE ID:436 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Integrity SCOPE - Other IMPACT - Unexpected State IMPACT - Varies by Context,,,,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Extra Unhandled Features::,"TYPE - Relationship NOTE - This can be related to interaction errors, although in some cases, one of the endpoints is not performing correctly according to specification.::","Software Development,Research Concept"
164,Improper Neutralization of Internal Special Elements,Variant,Incomplete,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.","As data is parsed, improperly handled internal special elements may cause the process to take unexpected actions that result in an attack.",NATURE:ChildOf:CWE ID:138 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Integrity IMPACT - Unexpected State,,"PHASE - DESCRIPTION - Developers should anticipate that internal special elements will be injected/removed/manipulated in the input vectors of their product. Use an appropriate combination of denylists and allowlists to ensure only valid, expected and app",,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Internal Special Element TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP24:ENTRY NAME:Tainted input to command::,,Research Concept
1394,Use of Default Cryptographic Key,Base,Incomplete,The product uses a default cryptographic key for potentially critical functionality.,"It is common practice for products to be designed to use default keys. The rationale is to simplify the manufacturing process or the system administrator's task of installation and deployment into an enterprise. However, if admins do not change the defaul",NATURE:ChildOf:CWE ID:1392 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Not Architecture-Specific:ARCHITECTURE PREVALENCE:Undetermined TECHNOLOGY CLASS:Not Te,,,PHASE - Architecture and Design,SCOPE - Authentication IMPACT - Gain Privileges or Assume Identity,,"PHASE - Requirements DESCRIPTION - Prohibit use of default, hard-coded, or other values that do not vary for each installation of the product - especially for separate organizations. EFFECTIVENESS High  PHASE - Architecture and Design DESCRIPTION - Force ",REFERENCE - CVE-2018-3825 DESCRIPTION - cloud cluster management product has a default master encryption key LINK - https://www.cve.org/CVERecord?id=CVE-2018-3825  REFERENCE - CVE-2016-1561 DESCRIPTION - backup storage product has a default SSH public key,,,,,Research Concept
326,Inadequate Encryption Strength,Class,Draft,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.",A weak encryption scheme can be subjected to brute force attacks that have a reasonable chance of succeeding using current attack methods and resources.,NATURE:ChildOf:CWE ID:693 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design: NOTE - COMMISSION: This weakness refers to an incorrect design related to an architectural security tactic.,SCOPE - Access Control SCOPE - Confidentiality IMPACT - Bypass Protection Mechanism IMPACT - Read Application Data NOTE - An attacker may be able to decrypt the data using brute force attacks.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Use an encryption scheme that is currently considered to be strong by experts in the field.,REFERENCE - CVE-2001-1546 DESCRIPTION - Weak encryption LINK - https://www.cve.org/CVERecord?id=CVE-2001-1546  REFERENCE - CVE-2004-2172 DESCRIPTION - Weak encryption (chosen plaintext attack) LINK - https://www.cve.org/CVERecord?id=CVE-2004-2172  REFEREN,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Weak Encryption TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A8:ENTRY NAME:Insecure Cryptographic Storage:MAPPING FIT:CWE More Specific TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A9:ENTRY NAME:Insecure Communications:MAPP,,Research Concept
